date,close,市盈率,市盈率估值,市净率,市净率估值
2007-12-14,5007.91,44.66,高估,6.3,高估
2007-12-17,4876.76,43.54,高估,6.09,高估
2007-12-18,4836.17,43.26,高估,6.05,高估
2007-12-19,4941.78,44.22,高估,6.18,高估
2007-12-20,5043.54,45.08,高估,6.3,高估
2007-12-21,5101.78,45.64,高估,6.36,高估
2007-12-24,5234.26,46.78,高估,6.52,高估
2007-12-25,5201.18,46.41,高估,6.47,高估
2007-12-26,5233.35,46.75,高估,6.48,高估
2007-12-27,5308.89,47.5,高估,6.58,高估
2007-12-28,5261.56,47.08,高估,6.52,高估
2008-01-02,5272.81,47.15,高估,6.49,高估
2008-01-03,5319.86,47.43,高估,6.54,高估
2008-01-04,5361.57,47.84,高估,6.59,高估
2008-01-07,5393.34,48.01,高估,6.62,高估
2008-01-08,5386.53,48.11,高估,6.63,高估
2008-01-09,5435.81,48.49,高估,6.68,高估
2008-01-10,5456.54,49.1,高估,6.69,高估
2008-01-11,5484.68,49.43,高估,6.74,高估
2008-01-14,5497.9,49.51,高估,6.75,高估
2008-01-15,5443.79,49.07,高估,6.68,高估
2008-01-16,5290.61,47.68,高估,6.49,高估
2008-01-17,5151.63,46.41,高估,6.32,高估
2008-01-18,5180.51,46.66,高估,6.35,高估
2008-01-21,4914.44,44.06,高估,6.03,高估
2008-01-22,4559.75,40.86,高估,5.59,高估
2008-01-23,4703.05,42.03,高估,5.75,高估
2008-01-24,4717.73,42.03,高估,5.75,高估
2008-01-25,4761.69,42.49,高估,5.82,高估
2008-01-28,4419.29,39.41,高估,5.39,高估
2008-01-29,4457.94,39.73,高估,5.44,高估
2008-01-30,4417.85,39.32,高估,5.38,高估
2008-01-31,4383.39,39.01,高估,5.34,高估
2008-02-01,4320.77,38.58,高估,5.28,高估
2008-02-04,4672.17,41.52,高估,5.71,高估
2008-02-05,4599.7,40.83,高估,5.62,高估
2008-02-13,4490.72,39.84,高估,5.48,高估
2008-02-14,4552.32,40.36,高估,5.55,高估
2008-02-15,4497.13,39.85,高估,5.48,高估
2008-02-18,4568.15,40.42,高估,5.56,高估
2008-02-19,4664.29,41.24,高估,5.67,高估
2008-02-20,4567.03,40.35,高估,5.55,高估
2008-02-21,4527.18,39.92,高估,5.49,高估
2008-02-22,4370.29,38.81,高估,5.3,高估
2008-02-25,4192.53,37.21,高估,5.09,高估
2008-02-26,4238.18,37.59,高估,5.15,高估
2008-02-27,4334.05,38.47,高估,5.27,高估
2008-02-28,4299.51,38.09,高估,5.22,高估
2008-02-29,4348.54,38.43,高估,5.28,高估
2008-03-03,4438.27,39.12,高估,5.38,高估
2008-03-04,4335.45,38.14,高估,5.25,高估
2008-03-05,4292.65,37.73,高估,5.19,高估
2008-03-06,4360.99,38.36,高估,5.28,高估
2008-03-07,4300.52,37.8,高估,5.2,高估
2008-03-10,4146.3,36.41,高估,5.02,高估
2008-03-11,4165.88,36.55,高估,5.03,高估
2008-03-12,4070.12,35.74,高估,4.92,高估
2008-03-13,3971.26,34.91,高估,4.8,高估
2008-03-14,3962.67,34.83,高估,4.79,高估
2008-03-17,3820.05,33.49,高估,4.62,高估
2008-03-18,3668.9,32.15,高估,4.44,高估
2008-03-19,3761.61,32.83,高估,4.54,高估
2008-03-20,3804.05,33.06,高估,4.58,高估
2008-03-21,3796.58,32.97,高估,4.57,高估
2008-03-24,3626.19,31.62,高估,4.35,高估
2008-03-25,3629.62,31.65,高估,4.35,高估
2008-03-26,3606.86,30.89,高估,4.31,高估
2008-03-27,3411.49,29.15,高估,4.06,高估
2008-03-28,3580.15,30.57,高估,4.27,高估
2008-03-31,3472.71,29.59,高估,4.15,高估
2008-04-01,3329.16,28.51,高估,4.01,高估
2008-04-02,3347.88,28.74,高估,4.05,高估
2008-04-03,3446.24,29.58,高估,4.17,高估
2008-04-07,3599.62,31.11,高估,4.33,高估
2008-04-08,3612.54,31.2,高估,4.34,高估
2008-04-09,3413.91,29.47,高估,4.09,高估
2008-04-10,3471.74,29.79,高估,4.16,高估
2008-04-11,3492.89,29.98,高估,4.19,高估
2008-04-14,3296.67,27.66,高估,3.93,高估
2008-04-15,3348.35,28.02,高估,3.99,高估
2008-04-16,3291.6,27.55,高估,3.92,高估
2008-04-17,3222.74,27.01,高估,3.85,高估
2008-04-18,3094.67,25.9,高估,3.69,高估
2008-04-21,3116.98,26.05,高估,3.72,高估
2008-04-22,3147.79,26.29,高估,3.78,高估
2008-04-23,3278.33,26.59,高估,3.93,高估
2008-04-24,3583.03,29.02,高估,4.29,高估
