date,close,市盈率,市盈率估值,市净率,市净率估值
2014-10-17,6058.67,63.57,高估,3.82,高估
2014-10-20,6154.52,64.51,高估,3.88,高估
2014-10-21,6103.01,64.06,高估,3.84,高估
2014-10-22,6027.51,63.34,高估,3.8,高估
2014-10-23,5930.48,62.08,高估,3.73,高估
2014-10-24,5941.93,62.27,高估,3.74,高估
2014-10-27,6006.84,62.5,高估,3.76,高估
2014-10-28,6163.67,63.7,高估,3.85,高估
2014-10-29,6246.7,64.44,高估,3.88,高估
2014-10-30,6241.59,64.08,高估,3.86,高估
2014-10-31,6208.61,63.56,高估,3.9,高估
2014-11-03,6275.99,64.25,高估,3.94,高估
2014-11-04,6231.82,63.85,高估,3.91,高估
2014-11-05,6227.25,63.84,高估,3.91,高估
2014-11-06,6289.19,64.64,高估,3.95,高估
2014-11-07,6228.17,64.16,高估,3.91,高估
2014-11-10,6246.61,64.36,高估,3.92,高估
2014-11-11,6023.0,62.14,高估,3.79,高估
2014-11-12,6120.06,63.16,高估,3.84,高估
2014-11-13,6023.78,62.11,高估,3.78,高估
2014-11-14,6009.45,61.96,高估,3.76,高估
2014-11-17,6100.83,62.93,高估,3.82,高估
2014-11-18,6139.52,63.32,高估,3.85,高估
2014-11-19,6193.56,63.85,高估,3.88,高估
2014-11-20,6185.92,63.75,高估,3.87,高估
2014-11-21,6240.77,64.35,高估,3.9,高估
2014-11-24,6293.02,64.9,高估,3.93,高估
2014-11-25,6392.44,65.94,高估,3.99,高估
2014-11-26,6435.14,66.38,高估,4.01,高估
2014-11-27,6472.59,66.8,高估,4.04,高估
2014-11-28,6478.11,66.89,高估,4.04,高估
2014-12-01,6392.46,65.92,高估,3.98,高估
2014-12-02,6457.56,66.57,高估,4.01,高估
2014-12-03,6513.96,67.16,高估,4.05,高估
2014-12-04,6605.32,68.09,高估,4.1,高估
2014-12-05,6462.09,66.75,高估,4.02,高估
2014-12-08,6457.51,66.75,高估,4.02,高估
2014-12-09,6161.37,63.64,高估,3.83,高估
2014-12-10,6366.81,65.81,高估,3.96,高估
2014-12-11,6463.32,66.77,高估,4.02,高估
2014-12-12,6545.19,67.63,高估,4.07,高估
2014-12-15,6658.15,61.54,高估,3.83,高估
2014-12-16,6635.25,61.32,高估,3.81,高估
2014-12-17,6551.12,60.6,高估,3.77,高估
2014-12-18,6540.88,60.5,高估,3.76,高估
2014-12-19,6438.04,59.62,高估,3.7,高估
2014-12-22,6120.58,56.62,高估,3.51,高估
2014-12-23,6023.37,55.75,高估,3.46,高估
2014-12-24,6154.88,56.95,高估,3.53,高估
2014-12-25,6222.51,57.56,高估,3.57,高估
2014-12-26,6233.94,57.69,高估,3.57,高估
