date,open,close,high,low,amount,净值日期_x,富国中证500指数增强(LOF),日增长率_x,净值日期_y,南方中证500ETF联接,日增长率_y,日期_x,平均值_x,市盈率,最低30_x,最低10_x,最高30_x,最高10_x,日期_y,平均值_y,市净率,最低30_y,最低10_y,最高30_y,最高10_y,日期,平均值,股息率,最低30,最低10,最高30,最高10
2006-05-25,1304.08,1324.92,1329.63,1298.73,19663824.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-26,1330.23,1355.5,1355.63,1329.14,20931172.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-29,1362.84,1387.52,1387.56,1352.98,23429286.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-30,1391.62,1410.54,1411.38,1380.2,24941388.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-31,1408.91,1402.33,1426.08,1392.15,27598876.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-01,1402.34,1455.74,1455.74,1401.84,33069585.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-02,1462.61,1457.76,1475.09,1440.27,38325542.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-05,1461.02,1484.29,1484.46,1443.31,29413874.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-06,1482.8,1470.45,1485.57,1464.1,25329401.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-07,1470.26,1370.81,1470.26,1370.39,27931262.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-08,1357.3,1376.08,1379.37,1326.78,24671632.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-09,1371.4,1346.48,1386.93,1345.6,23220739.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-12,1339.54,1352.58,1361.91,1329.2,14672115.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-13,1350.74,1361.53,1369.61,1342.47,14557767.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-14,1351.34,1347.88,1351.34,1328.87,13987922.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-15,1346.0,1352.34,1366.4,1344.78,13827267.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-16,1362.06,1382.41,1382.6,1360.42,15949331.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-19,1367.06,1398.0,1405.13,1359.75,17174543.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-20,1397.16,1414.91,1415.88,1391.36,17933394.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-21,1414.94,1410.5,1426.98,1399.69,18241678.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-22,1409.15,1411.28,1416.03,1399.28,16067073.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-23,1408.42,1430.51,1430.63,1401.5,16886956.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-26,1433.24,1457.14,1458.8,1433.24,20453222.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-27,1460.9,1464.69,1466.12,1447.68,20306082.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-28,1463.24,1461.79,1468.86,1454.76,17768400.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-29,1465.86,1488.16,1489.96,1465.86,24385373.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,1495.51,1486.0,1501.27,1476.22,24636734.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-03,1489.46,1514.07,1514.07,1483.95,25348765.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-04,1516.7,1508.84,1525.19,1496.63,27850126.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-05,1508.36,1497.66,1508.36,1475.02,21574748.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-06,1498.04,1539.18,1539.39,1497.21,25426140.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-07,1544.97,1541.25,1549.61,1534.19,25026863.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-10,1542.9,1550.04,1551.09,1530.53,19808479.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-11,1551.64,1561.84,1561.9,1543.71,20802043.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-12,1564.45,1562.06,1577.4,1560.07,25275444.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-13,1558.43,1459.78,1558.6,1459.67,34944606.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-14,1442.33,1470.47,1484.89,1435.75,21196877.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-17,1467.26,1494.79,1494.79,1460.73,17734058.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-18,1494.96,1506.59,1506.59,1481.07,17912038.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-19,1503.68,1472.35,1503.68,1460.05,19013809.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-20,1470.53,1484.41,1486.94,1462.41,16248454.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-21,1483.04,1493.04,1494.81,1482.92,15893080.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-24,1464.27,1496.61,1497.52,1453.09,16307505.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-25,1498.23,1518.17,1522.44,1498.23,17835350.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-26,1521.89,1523.86,1529.29,1512.01,17399888.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-27,1523.15,1506.56,1531.69,1492.67,19791143.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-28,1504.58,1492.11,1510.8,1472.63,18604575.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-31,1487.78,1425.04,1487.78,1424.52,17977062.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-01,1422.27,1408.9,1435.65,1403.4,14318330.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-02,1409.63,1401.86,1417.37,1378.6,13078178.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-03,1402.93,1401.16,1412.12,1387.04,11173162.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-04,1401.62,1354.78,1407.77,1353.18,13257335.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-07,1349.24,1323.73,1349.24,1321.1,12436967.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-08,1323.0,1364.99,1364.99,1323.0,12371064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-09,1365.16,1367.4,1375.46,1355.54,11927142.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-10,1367.32,1391.14,1391.14,1367.3,12458222.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-11,1391.47,1398.01,1401.33,1382.05,12293776.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-14,1397.92,1356.85,1401.28,1352.81,12974801.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-15,1355.88,1383.36,1383.36,1346.16,10117217.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-16,1383.83,1407.31,1407.31,1378.92,13800771.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-17,1406.44,1395.72,1406.44,1381.14,12259591.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-18,1392.16,1384.9,1402.91,1383.71,10095910.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-21,1339.52,1392.97,1392.97,1329.82,11813110.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
