date,close,市盈率,市盈率估值,市净率,市净率估值
2015-08-11,3196.54,83.92,高估,6.93,高估
2015-08-12,3148.26,82.44,高估,6.81,高估
2015-08-13,3231.77,84.75,高估,7.0,高估
2015-08-14,3207.55,84.22,高估,6.95,高估
2015-08-17,3191.24,78.77,高估,7.06,高估
2015-08-18,2996.99,73.84,高估,6.62,高估
2015-08-19,3064.43,75.52,高估,6.77,高估
2015-08-20,2988.8,72.67,高估,6.55,高估
2015-08-21,2820.63,67.96,高估,6.13,高估
2015-08-24,2632.05,63.16,高估,5.68,高估
2015-08-25,2465.34,58.76,高估,5.21,高估
2015-08-26,2363.62,53.08,高估,4.97,高估
2015-08-27,2448.31,55.17,高估,5.18,高估
2015-08-28,2568.86,57.93,高估,5.45,高估
2015-08-31,2505.79,56.66,高估,5.32,高估
2015-09-01,2413.76,54.58,高估,5.13,高估
2015-09-02,2388.29,54.29,高估,5.1,高估
2015-09-07,2420.19,54.91,高估,5.16,高估
2015-09-08,2516.79,57.24,高估,5.38,高估
2015-09-09,2568.49,58.43,高估,5.49,高估
2015-09-10,2544.33,57.88,高估,5.44,高估
2015-09-11,2576.37,58.53,高估,5.5,高估
2015-09-14,2437.28,55.19,高估,5.19,高估
2015-09-15,2321.68,52.38,高估,4.92,高估
2015-09-16,2459.85,55.8,高估,5.24,高估
2015-09-17,2428.7,54.99,高估,5.17,高估
2015-09-18,2474.39,56.28,高估,5.29,高估
2015-09-21,2586.98,58.85,高估,5.53,高估
2015-09-22,2587.62,58.87,高估,5.53,高估
2015-09-23,2576.16,58.61,高估,5.46,高估
2015-09-24,2621.21,59.84,高估,5.58,高估
2015-09-25,2516.43,57.19,高估,5.33,高估
2015-09-28,2603.5,59.31,高估,5.53,高估
2015-09-29,2575.78,58.62,高估,5.46,高估
2015-09-30,2555.57,58.36,高估,5.44,高估
2015-10-08,2654.5,60.61,高估,5.65,高估
2015-10-09,2669.39,60.9,高估,5.68,高估
2015-10-12,2760.55,63.01,高估,5.87,高估
2015-10-13,2796.62,63.7,高估,5.94,高估
2015-10-14,2756.34,62.61,高估,5.84,高估
2015-10-15,2867.5,65.07,高估,6.07,高估
2015-10-16,2949.32,67.04,高估,6.25,高估
2015-10-19,2943.77,67.17,高估,6.26,高估
2015-10-20,3031.9,69.07,高估,6.44,高估
2015-10-21,2842.02,64.44,高估,6.01,高估
2015-10-22,2934.8,66.56,高估,6.2,高估
2015-10-23,3007.41,67.87,高估,6.36,高估
2015-10-26,2990.54,68.1,高估,6.32,高估
2015-10-27,3057.4,67.26,高估,6.41,高估
2015-10-28,2959.39,64.82,高估,6.19,高估
2015-10-29,2960.79,64.74,高估,6.19,高估
2015-10-30,2972.45,64.98,高估,6.23,高估
2015-11-02,2924.6,60.57,高估,6.16,高估
2015-11-03,2927.7,60.62,高估,6.17,高估
2015-11-04,3084.14,63.86,高估,6.5,高估
2015-11-05,3068.72,63.48,高估,6.46,高估
2015-11-06,3178.2,65.86,高估,6.7,高估
2015-11-09,3239.44,67.2,高估,6.84,高估
2015-11-10,3272.59,67.91,高估,6.91,高估
2015-11-11,3315.4,68.87,高估,7.01,高估
2015-11-12,3267.92,67.93,高估,6.91,高估
2015-11-13,3178.82,66.15,高估,6.73,高估
2015-11-16,3246.58,67.76,高估,6.89,高估
2015-11-17,3153.49,66.04,高估,6.72,高估
