date,close,市盈率,市盈率估值,市净率,市净率估值
2015-08-11,17334.69,170.26,高估,7.2,高估
2015-08-12,17343.09,170.66,高估,7.22,高估
2015-08-13,17650.49,173.95,高估,7.34,高估
2015-08-14,17563.87,173.36,高估,7.31,高估
2015-08-17,17790.99,175.49,高估,7.4,高估
2015-08-18,16498.24,162.38,高估,6.86,高估
2015-08-19,16716.22,165.68,高估,6.95,高估
2015-08-20,15836.74,155.65,高估,6.53,高估
2015-08-21,15179.54,149.17,高估,6.27,高估
2015-08-24,13900.42,136.5,高估,5.72,高估
2015-08-25,12749.33,120.32,高估,5.21,高估
2015-08-26,11737.69,110.39,高估,4.76,高估
2015-08-27,12179.2,118.84,高估,4.97,高估
2015-08-28,13148.53,138.44,高估,5.39,高估
2015-08-31,13176.48,141.19,高估,5.44,高估
2015-09-01,12291.79,131.61,高估,5.07,高估
2015-09-02,11657.83,124.9,高估,4.78,高估
2015-09-07,11408.3,121.27,高估,4.65,高估
2015-09-08,11748.81,124.7,高估,4.77,高估
2015-09-09,12178.21,128.76,高估,4.93,高估
2015-09-10,12187.63,129.27,高估,4.95,高估
2015-09-11,12166.56,128.57,高估,4.92,高估
2015-09-14,11412.96,120.91,高估,4.63,高估
2015-09-15,10546.3,111.18,高估,4.26,高估
2015-09-16,11271.67,119.42,高估,4.57,高估
2015-09-17,11056.37,116.99,高估,4.48,高估
2015-09-18,11119.81,117.66,高估,4.5,高估
2015-09-21,11759.7,124.58,高估,4.77,高估
2015-09-22,11826.08,125.17,高估,4.79,高估
2015-09-23,11730.71,124.02,高估,4.75,高估
2015-09-24,11943.86,126.37,高估,4.84,高估
2015-09-25,11501.32,121.93,高估,4.67,高估
2015-09-28,11707.55,123.78,高估,4.74,高估
2015-09-29,11374.47,120.04,高估,4.6,高估
2015-09-30,11752.67,124.36,高估,4.76,高估
2015-10-08,12213.76,129.22,高估,4.95,高估
2015-10-09,12481.44,131.87,高估,5.05,高估
2015-10-12,12955.43,137.05,高估,5.25,高估
2015-10-13,13101.9,138.79,高估,5.31,高估
2015-10-14,12920.6,137.06,高估,5.25,高估
2015-10-15,13387.89,142.51,高估,5.45,高估
2015-10-16,13635.28,145.33,高估,5.56,高估
2015-10-19,13459.73,142.99,高估,5.47,高估
2015-10-20,13828.32,148.77,高估,5.62,高估
2015-10-21,12943.82,139.07,高估,5.25,高估
2015-10-22,13423.69,144.52,高估,5.46,高估
2015-10-23,13717.11,146.9,高估,5.56,高估
2015-10-26,13893.96,148.44,高估,5.62,高估
2015-10-27,14592.21,158.52,高估,5.93,高估
2015-10-28,14025.69,151.54,高估,5.68,高估
2015-10-29,14190.89,153.4,高估,5.74,高估
2015-10-30,14077.66,149.03,高估,5.67,高估
2015-11-02,13621.5,170.46,高估,5.49,高估
2015-11-03,13573.12,169.59,高估,5.48,高估
2015-11-04,14257.54,177.99,高估,5.75,高估
2015-11-05,14272.87,178.44,高估,5.76,高估
2015-11-06,14681.83,183.44,高估,5.92,高估
2015-11-09,14844.24,185.31,高估,5.98,高估
2015-11-10,14853.27,185.34,高估,5.98,高估
2015-11-11,14999.85,186.93,高估,6.04,高估
2015-11-12,15069.9,187.84,高估,6.07,高估
2015-11-13,14631.49,182.52,高估,5.89,高估
2015-11-16,14979.81,186.54,高估,6.02,高估
2015-11-17,15151.08,188.94,高估,6.1,高估
2015-11-18,14750.07,183.59,高估,5.93,高估
2015-11-19,15210.02,189.71,高估,6.06,高估
2015-11-20,15487.44,193.04,高估,6.17,高估
2015-11-23,15250.83,189.94,高估,6.07,高估
2015-11-24,15288.99,190.1,高估,6.07,高估
2015-11-25,15500.56,192.98,高估,6.17,高估
2015-11-26,15519.2,193.63,高估,6.18,高估
2015-11-27,14515.23,181.05,高估,5.75,高估
2015-11-30,14287.99,177.8,高估,5.65,高估
2015-12-01,14131.11,176.01,高估,5.59,高估
2015-12-02,14025.52,174.96,高估,5.56,高估
2015-12-03,14296.99,178.24,高估,5.66,高估
2015-12-04,14106.57,175.71,高估,5.58,高估
2015-12-07,14162.25,176.42,高估,5.6,高估
2015-12-08,13782.31,171.74,高估,5.42,高估
2015-12-09,13840.87,172.61,高估,5.45,高估
2015-12-10,13690.54,170.41,高估,5.37,高估
2015-12-11,13760.85,171.29,高估,5.4,高估
2015-12-14,14073.52,176.03,高估,5.4,高估
2015-12-15,14174.83,177.05,高估,5.43,高估
2015-12-16,14145.26,176.7,高估,5.42,高估
2015-12-17,14383.03,179.58,高估,5.51,高估
2015-12-18,14282.45,178.31,高估,5.47,高估
2015-12-21,14419.61,180.23,高估,5.53,高估
2015-12-22,14538.72,181.66,高估,5.58,高估
2015-12-23,14277.44,178.47,高估,5.48,高估
2015-12-24,14126.53,176.24,高估,5.41,高估
2015-12-25,14207.33,177.52,高估,5.45,高估
2015-12-28,13916.83,173.69,高估,5.33,高估
2015-12-29,14007.34,174.84,高估,5.37,高估
2015-12-30,14236.28,177.97,高估,5.46,高估
2015-12-31,14059.9,175.81,高估,5.4,高估
2016-01-04,13160.66,164.42,高估,5.05,高估
2016-01-05,13446.59,168.64,高估,5.18,高估
2016-01-06,13755.38,172.49,高估,5.29,高估
2016-01-07,12648.91,158.42,高估,4.84,高估
2016-01-08,12636.41,158.21,高估,4.83,高估
2016-01-11,11693.89,145.95,高估,4.45,高估
2016-01-12,11516.51,143.74,高估,4.38,高估
2016-01-13,10994.99,136.76,高估,4.17,高估
2016-01-14,11498.77,143.42,高估,4.37,高估
2016-01-15,11354.91,141.51,高估,4.32,高估
2016-01-18,11587.79,144.42,高估,4.4,高估
2016-01-19,12010.52,147.65,高估,4.56,高估
2016-01-20,11843.35,145.48,高估,4.5,高估
2016-01-21,11384.6,139.84,高估,4.32,高估
2016-01-22,11569.98,142.21,高估,4.4,高估
2016-01-25,11620.6,142.85,高估,4.42,高估
2016-01-26,10851.4,132.92,高估,4.11,高估
2016-01-27,10873.25,133.42,高估,4.12,高估
2016-01-28,10247.55,125.34,高估,3.87,高估
2016-01-29,10510.65,128.71,高估,3.98,高估
2016-02-01,10255.8,125.36,高估,3.88,高估
2016-02-02,10638.14,129.79,高估,4.02,高估
2016-02-03,10713.14,130.69,高估,4.05,高估
2016-02-04,10863.16,132.92,高估,4.12,高估
2016-02-05,10761.14,131.73,高估,4.08,高估
2016-02-15,10802.36,132.2,高估,4.1,高估
2016-02-16,11238.45,137.77,高估,4.27,高估
2016-02-17,11515.34,140.74,高估,4.38,高估
2016-02-18,11327.52,138.39,高估,4.31,高估
2016-02-19,11424.23,139.64,高估,4.35,高估
2016-02-22,11569.26,141.33,高估,4.4,高估
2016-02-23,11445.79,139.19,高估,4.35,高估
2016-02-24,11531.37,140.35,高估,4.38,高估
2016-02-25,10563.63,127.28,高估,4.0,高估
2016-02-26,10476.41,126.1,高估,3.97,高估
2016-02-29,9884.64,121.48,高估,3.74,高估
2016-03-01,10140.54,124.74,高估,3.84,高估
2016-03-02,10631.28,130.64,高估,4.03,高估
2016-03-03,10639.49,130.78,高估,4.04,高估
2016-03-04,10442.66,128.65,高估,3.97,高估
2016-03-07,10644.55,131.11,高估,4.05,高估
2016-03-08,10585.62,130.13,高估,4.02,高估
2016-03-09,10417.55,127.91,高估,3.95,高估
