date,close,市盈率,市盈率估值,市净率,市净率估值
2015-08-04,10531.62,87.38,高估,9.72,高估
2015-08-05,10446.17,86.69,高估,9.65,高估
2015-08-06,10324.63,85.86,高估,9.3,高估
2015-08-07,10823.92,89.66,高估,9.74,高估
2015-08-10,11393.97,94.43,高估,10.26,高估
2015-08-11,11253.46,93.01,高估,10.11,高估
2015-08-12,11023.81,91.0,高估,9.9,高估
2015-08-13,11240.64,92.94,高估,10.08,高估
2015-08-14,11256.17,93.0,高估,10.09,高估
2015-08-17,11271.05,93.09,高估,10.1,高估
2015-08-18,10493.58,86.23,高估,9.37,高估
2015-08-19,10714.44,88.16,高估,9.58,高估
2015-08-20,10493.61,85.71,高估,9.34,高估
2015-08-21,9982.29,81.48,高估,8.88,高估
2015-08-24,9244.63,75.09,高估,8.2,高估
2015-08-25,8588.5,69.49,高估,7.58,高估
2015-08-26,8248.39,65.43,高估,7.2,高估
2015-08-27,8557.96,67.99,高估,7.48,高估
2015-08-28,9061.07,72.27,高估,7.92,高估
2015-08-31,8710.84,69.63,高估,7.59,高估
2015-09-01,8235.25,65.74,高估,7.16,高估
2015-09-02,8151.98,65.05,高估,7.09,高估
2015-09-07,8261.47,65.91,高估,7.18,高估
2015-09-08,8675.63,69.31,高估,7.55,高估
2015-09-09,8990.42,71.83,高估,7.83,高估
2015-09-10,8808.82,70.32,高估,7.66,高估
2015-09-11,8828.99,70.61,高估,7.68,高估
2015-09-14,8262.12,65.96,高估,7.17,高估
2015-09-15,7852.02,62.62,高估,6.81,高估
2015-09-16,8342.29,66.66,高估,7.25,高估
2015-09-17,8317.18,66.45,高估,7.22,高估
2015-09-18,8511.52,68.1,高估,7.4,高估
2015-09-21,8936.42,71.59,高估,7.78,高估
2015-09-22,8954.74,71.82,高估,7.81,高估
2015-09-23,8926.53,71.52,高估,7.77,高估
2015-09-24,9053.15,72.55,高估,7.89,高估
2015-09-25,8773.83,70.46,高估,7.66,高估
2015-09-28,9141.74,73.52,高估,7.99,高估
2015-09-29,9028.96,72.62,高估,7.89,高估
2015-09-30,9080.33,72.94,高估,7.92,高估
2015-10-08,9467.75,76.1,高估,8.27,高估
2015-10-09,9517.3,76.51,高估,8.31,高估
2015-10-12,9866.82,79.47,高估,8.6,高估
2015-10-13,10002.2,80.72,高估,8.73,高估
2015-10-14,9839.62,79.29,高估,8.58,高估
2015-10-15,10102.09,81.41,高估,8.81,高估
2015-10-16,10147.3,81.91,高估,8.86,高估
2015-10-19,10038.36,81.13,高估,8.78,高估
2015-10-20,10322.66,83.29,高估,9.01,高估
2015-10-21,9924.95,79.97,高估,8.65,高估
2015-10-22,10694.22,86.15,高估,9.32,高估
2015-10-23,11214.07,89.62,高估,9.7,高估
2015-10-26,10973.37,87.89,高估,9.47,高估
2015-10-27,11201.0,90.48,高估,9.59,高估
2015-10-28,10680.26,85.29,高估,9.11,高估
2015-10-29,10713.27,85.45,高估,9.14,高估
2015-10-30,10614.21,85.46,高估,9.02,高估
2015-11-02,10291.28,82.8,高估,8.72,高估
2015-11-03,10215.07,82.12,高估,8.65,高估
2015-11-04,10931.5,87.64,高估,9.23,高估
2015-11-05,10826.12,86.74,高估,9.14,高估
2015-11-06,11061.27,88.6,高估,9.33,高估
2015-11-09,11264.69,90.18,高估,9.5,高估
2015-11-10,11321.6,90.67,高估,9.55,高估
2015-11-11,11636.54,93.11,高估,9.81,高估
2015-11-12,11609.71,93.0,高估,9.8,高估
2015-11-13,11106.78,88.86,高估,9.36,高估
2015-11-16,11275.07,90.22,高估,9.5,高估
2015-11-17,11069.29,88.59,高估,9.33,高估
2015-11-18,10746.84,86.08,高估,9.07,高估
2015-11-19,11019.14,88.19,高估,9.29,高估
2015-11-20,11078.05,88.72,高估,9.35,高估
2015-11-23,11019.9,88.35,高估,9.31,高估
2015-11-24,11112.31,89.05,高估,9.38,高估
2015-11-25,11595.64,92.94,高估,9.79,高估
2015-11-26,11355.06,91.15,高估,9.6,高估
2015-11-27,10623.2,85.43,高估,9.0,高估
2015-11-30,10678.12,85.75,高估,9.03,高估
2015-12-01,10728.52,86.04,高估,9.06,高估
2015-12-02,10562.69,84.81,高估,8.93,高估
2015-12-03,10800.57,86.74,高估,9.14,高估
2015-12-04,10689.77,85.89,高估,9.05,高估
2015-12-07,10840.99,87.13,高估,9.17,高估
2015-12-08,10531.39,84.7,高估,8.92,高估
2015-12-09,10443.84,84.07,高估,8.85,高估
2015-12-10,10430.29,83.95,高估,8.84,高估
2015-12-11,10292.89,82.89,高估,8.73,高估
2015-12-14,10465.62,89.26,高估,9.35,高估
2015-12-15,10596.9,90.27,高估,9.46,高估
2015-12-16,10594.54,90.31,高估,9.46,高估
2015-12-17,10831.21,92.36,高估,9.68,高估
2015-12-18,10915.2,92.76,高估,9.72,高估
2015-12-21,11027.37,93.69,高估,9.82,高估
2015-12-22,11117.01,94.31,高估,9.88,高估
2015-12-23,10887.39,92.61,高估,9.7,高估
2015-12-24,10895.17,92.68,高估,9.71,高估
2015-12-25,10906.51,92.72,高估,9.71,高估
2015-12-28,10652.79,90.56,高估,9.49,高估
2015-12-29,10720.14,91.0,高估,9.53,高估
2015-12-30,10892.0,92.64,高估,9.69,高估
2015-12-31,10617.29,90.3,高估,9.44,高估
2016-01-04,9715.57,82.63,高估,8.64,高估
2016-01-05,9443.61,80.53,高估,8.42,高估
2016-01-06,9599.95,81.88,高估,8.56,高估
2016-01-07,8782.28,75.0,高估,7.84,高估
2016-01-08,8825.79,75.36,高估,7.88,高估
2016-01-11,8205.0,70.19,高估,7.34,高估
2016-01-12,8389.51,71.76,高估,7.5,高估
2016-01-13,8080.64,69.08,高估,7.22,高估
2016-01-14,8496.06,72.52,高估,7.58,高估
2016-01-15,8302.66,70.84,高估,7.41,高估
2016-01-18,8498.94,72.84,高估,7.62,高估
2016-01-19,8764.14,75.06,高估,7.85,高估
2016-01-20,8594.2,73.63,高估,7.7,高估
2016-01-21,8230.64,70.19,高估,7.34,高估
2016-01-22,8273.42,70.7,高估,7.28,高估
2016-01-25,8325.58,71.49,高估,7.21,高估
2016-01-26,7715.71,66.4,高估,6.7,高估
2016-01-27,7618.53,65.61,高估,6.62,偏高
2016-01-28,7332.02,63.04,高估,6.36,偏高
2016-01-29,7640.49,65.99,高估,6.65,高估
2016-02-01,7569.02,65.7,高估,6.59,偏高
2016-02-02,7848.85,68.09,高估,6.83,高估
2016-02-03,7866.11,68.12,高估,6.78,高估
2016-02-04,8032.87,69.62,高估,6.93,高估
2016-02-05,7953.66,69.18,高估,6.77,高估
2016-02-15,7957.74,69.29,高估,6.78,高估
2016-02-16,8298.0,72.14,高估,7.06,高估
2016-02-17,8351.01,72.65,高估,7.11,高估
2016-02-18,8282.5,72.09,高估,7.06,高估
2016-02-19,8349.98,72.64,高估,7.11,高估
2016-02-22,8468.91,73.82,高估,7.22,高估
2016-02-23,8415.76,73.27,高估,7.16,高估
2016-02-24,8460.32,73.59,高估,7.19,高估
2016-02-25,7834.53,67.86,高估,6.64,高估
2016-02-26,7672.88,66.68,高估,6.53,偏高
2016-02-29,7149.83,63.05,高估,6.02,偏高
2016-03-01,7313.37,64.43,高估,6.15,偏高
2016-03-02,7635.86,67.21,高估,6.42,偏高
2016-03-03,7646.45,66.75,高估,6.42,偏高
2016-03-04,7291.69,63.65,高估,6.13,偏高
2016-03-07,7456.75,65.1,高估,6.27,偏高
2016-03-08,7558.84,65.95,高估,6.36,偏高
2016-03-09,7536.37,65.65,高估,6.33,偏高
2016-03-10,7373.56,64.31,高估,6.2,偏高
2016-03-11,7350.64,64.19,高估,6.19,偏高
2016-03-14,7656.82,66.93,高估,6.46,偏高
2016-03-15,7586.88,66.38,高估,6.32,偏高
2016-03-16,7506.57,65.72,高估,6.25,偏高
2016-03-17,7842.02,68.66,高估,6.53,偏高
2016-03-18,8138.23,71.21,高估,6.78,高估
2016-03-21,8316.57,72.77,高估,6.93,高估
2016-03-22,8340.71,72.95,高估,6.94,高估
2016-03-23,8361.97,73.23,高估,6.97,高估
2016-03-24,8197.74,71.84,高估,6.84,高估
2016-03-25,8263.36,72.45,高估,6.89,高估
2016-03-28,8189.79,71.86,高估,6.83,高估
2016-03-29,7994.04,70.19,高估,6.68,高估
2016-03-30,8331.93,74.38,高估,6.96,高估
2016-03-31,8289.01,74.21,高估,6.93,高估
2016-04-01,8191.35,73.45,高估,6.86,高估
2016-04-05,8473.71,75.76,高估,7.08,高估
2016-04-06,8517.98,76.19,高估,7.12,高估
2016-04-07,8380.98,75.01,高估,7.01,高估
2016-04-08,8316.07,74.44,高估,6.96,高估
2016-04-11,8727.03,77.65,高估,7.28,高估
2016-04-12,8717.36,77.39,高估,7.25,高估
2016-04-13,8849.66,78.39,高估,7.37,高估
2016-04-14,8871.9,78.31,高估,7.38,高估
2016-04-15,8810.01,77.78,高估,7.33,高估
2016-04-18,8599.23,76.27,高估,7.17,高估
2016-04-19,8628.78,76.5,高估,7.19,高估
2016-04-20,8064.01,61.47,高估,6.62,偏高
2016-04-21,7983.04,60.48,高估,6.53,偏高
2016-04-22,8143.21,61.63,高估,6.66,高估
2016-04-25,8101.19,61.14,高估,6.62,偏高
2016-04-26,8272.76,62.61,高估,6.75,高估
2016-04-27,8182.23,61.63,高估,6.7,高估
2016-04-28,8209.74,61.65,高估,6.71,高估
2016-04-29,8147.54,61.31,高估,6.64,高估
2016-05-03,8385.52,63.57,高估,6.83,高估
2016-05-04,8372.2,63.58,高估,6.83,高估
2016-05-05,8437.04,64.12,高估,6.89,高估
2016-05-06,8072.21,61.43,高估,6.6,偏高
2016-05-09,7719.08,58.94,高估,6.34,偏高
2016-05-10,7712.24,58.85,高估,6.33,偏高
2016-05-11,7717.07,58.85,高估,6.33,偏高
2016-05-12,7719.98,58.78,高估,6.32,偏高
2016-05-13,7675.46,58.44,高估,6.28,偏高
2016-05-16,7808.01,59.46,高估,6.39,偏高
2016-05-17,8037.29,61.1,高估,6.58,偏高
2016-05-18,7732.76,58.79,高估,6.35,偏高
2016-05-19,7754.29,59.0,高估,6.39,偏高
2016-05-20,7837.67,59.63,高估,6.47,偏高
2016-05-23,7938.42,60.47,高估,6.56,偏高
2016-05-24,7809.96,59.48,高估,6.45,偏高
2016-05-25,7802.27,59.43,高估,6.45,偏高
2016-05-26,7881.98,59.97,高估,6.5,偏高
2016-05-27,7819.29,59.5,高估,6.45,偏高
2016-05-30,7807.7,59.42,高估,6.44,偏高
2016-05-31,8156.2,61.98,高估,6.72,高估
2016-06-01,8184.3,62.17,高估,6.75,高估
2016-06-02,8249.12,62.7,高估,6.81,高估
2016-06-03,8342.59,63.29,高估,6.87,高估
2016-06-06,8332.68,63.22,高估,6.86,高估
2016-06-07,8311.88,63.14,高估,6.85,高估
2016-06-08,8255.41,62.7,高估,6.8,高估
2016-06-13,7809.21,59.25,高估,6.43,偏高
2016-06-14,7821.27,59.5,高估,6.38,偏高
2016-06-15,8051.52,61.18,高估,6.56,偏高
2016-06-16,7995.26,60.74,高估,6.52,偏高
2016-06-17,8246.95,62.69,高估,6.73,高估
2016-06-20,8234.28,62.62,高估,6.72,高估
2016-06-21,8104.43,61.67,高估,6.6,偏高
2016-06-22,8229.38,62.62,高估,6.71,高估
2016-06-23,8126.8,61.76,高估,6.63,高估
2016-06-24,8080.47,61.81,高估,6.39,偏高
2016-06-27,8290.2,63.53,高估,6.48,偏高
2016-06-28,8439.09,64.77,高估,6.61,偏高
2016-06-29,8452.18,65.01,高估,6.63,高估
2016-06-30,8478.34,65.27,高估,6.65,高估
2016-07-01,8403.68,64.73,高估,6.6,偏高
2016-07-04,8571.89,66.01,高估,6.73,高估
2016-07-05,8557.56,65.84,高估,6.71,高估
2016-07-06,8599.08,66.14,高估,6.74,高估
2016-07-07,8716.84,66.96,高估,6.83,高估
2016-07-08,8710.7,66.87,高估,6.85,高估
2016-07-11,8613.77,66.08,高估,6.76,高估
2016-07-12,8768.23,67.29,高估,6.89,高估
2016-07-13,8819.05,67.69,高估,6.93,高估
2016-07-14,8810.27,67.66,高估,6.92,高估
2016-07-15,8708.74,66.93,高估,6.86,高估
2016-07-18,8705.21,66.97,高估,6.86,高估
2016-07-19,8740.4,67.16,高估,6.88,高估
2016-07-20,8776.59,67.44,高估,6.91,高估
2016-07-21,8790.61,67.59,高估,6.92,高估
