date,close,市盈率,市盈率估值,市净率,市净率估值
2012-09-25,865.69,25.48,正常,2.05,低估
2012-09-26,843.76,25.0,正常,2.01,低估
2012-09-27,862.55,25.55,正常,2.06,低估
2012-09-28,877.91,25.99,正常,2.09,低估
2012-10-08,875.92,25.91,正常,2.09,低估
2012-10-09,901.2,26.56,正常,2.14,低估
2012-10-10,907.75,26.71,正常,2.15,低估
2012-10-11,892.39,26.21,正常,2.12,低估
2012-10-12,889.33,26.14,正常,2.11,低估
2012-10-15,879.17,25.92,正常,2.1,低估
2012-10-16,881.51,26.46,正常,2.1,低估
2012-10-17,884.13,26.5,正常,2.1,低估
2012-10-18,900.05,26.89,正常,2.13,低估
2012-10-19,898.42,26.84,正常,2.13,低估
2012-10-22,902.61,26.93,正常,2.14,低估
2012-10-23,895.2,26.79,正常,2.12,低估
2012-10-24,896.61,26.93,正常,2.13,低估
2012-10-25,888.57,26.38,正常,2.11,低估
2012-10-26,865.07,25.86,正常,2.05,低估
2012-10-29,864.18,26.18,正常,2.04,低估
2012-10-30,863.88,27.74,偏高,2.04,低估
2012-10-31,865.31,26.24,正常,2.02,低估
2012-11-01,880.12,26.64,正常,2.05,低估
2012-11-02,881.77,26.72,正常,2.06,低估
2012-11-05,879.75,26.7,正常,2.06,低估
2012-11-06,876.52,26.6,正常,2.05,低估
2012-11-07,877.13,26.64,正常,2.05,低估
2012-11-08,853.12,25.97,正常,2.0,低估
2012-11-09,851.31,25.95,正常,2.0,低估
2012-11-12,860.75,26.23,正常,2.02,低估
2012-11-13,845.65,25.8,正常,1.99,低估
2012-11-14,848.44,25.86,正常,1.99,低估
2012-11-15,832.27,25.42,正常,1.96,低估
2012-11-16,831.36,25.31,正常,1.95,低估
2012-11-19,837.65,25.45,正常,1.96,低估
2012-11-20,835.09,25.38,正常,1.95,低估
2012-11-21,840.68,25.62,正常,1.97,低估
2012-11-22,831.42,25.38,正常,1.95,低估
2012-11-23,832.16,25.46,正常,1.96,低估
2012-11-26,820.61,25.11,正常,1.93,低估
2012-11-27,788.76,24.39,正常,1.87,低估
2012-11-28,774.28,24.03,正常,1.85,低估
2012-11-29,766.26,23.8,正常,1.83,低估
2012-11-30,775.24,24.08,正常,1.85,低估
2012-12-03,753.93,23.58,正常,1.81,低估
2012-12-04,761.19,23.8,正常,1.83,低估
2012-12-05,790.02,24.61,正常,1.89,低估
2012-12-06,788.07,24.54,正常,1.88,低估
2012-12-07,807.48,25.06,正常,1.92,低估
2012-12-10,824.72,25.49,正常,1.96,低估
2012-12-11,818.65,25.31,正常,1.94,低估
2012-12-12,821.3,25.37,正常,1.95,低估
2012-12-13,808.96,25.08,正常,1.93,低估
2012-12-14,840.67,26.04,正常,2.0,低估
2012-12-17,845.58,26.17,正常,2.0,低估
2012-12-18,845.02,26.18,正常,2.0,低估
2012-12-19,850.76,26.41,正常,2.01,低估
2012-12-20,858.07,26.54,正常,2.02,低估
