date,open,close,high,low,amount,净值日期,富国中证红利指数增强,日增长率,日期_x,平均值_x,市盈率,最低30_x,最低10_x,最高30_x,最高10_x,日期_y,平均值_y,市净率,最低30_y,最低10_y,最高30_y,最高10_y,日期,平均值,股息率,最低30,最低10,最高30,最高10
2007-05-28,3836.63,3877.62,3887.97,3836.63,29383048.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-29,3899.78,3991.31,3991.31,3899.78,29063264.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-30,3739.87,3688.23,3934.7,3672.23,32276084.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-31,3611.12,3689.33,3753.86,3429.07,31217568.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-01,3711.62,3526.34,3758.8,3523.6,29214214.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-04,3522.72,3220.39,3522.72,3212.41,22435034.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-05,3179.48,3336.88,3336.88,2962.42,29268886.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-06,3363.08,3383.47,3410.02,3299.52,24711988.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-07,3383.47,3515.88,3515.88,3383.47,23849132.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-08,3524.55,3564.76,3582.72,3502.76,21844984.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-11,3595.56,3639.53,3640.64,3591.18,23047298.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-12,3666.1,3808.51,3808.51,3618.53,28333564.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-13,3858.28,3863.99,3907.78,3857.15,27940354.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-14,3849.85,3807.91,3860.52,3807.91,22636376.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-15,3768.22,3802.84,3828.3,3765.66,17123548.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-18,3879.43,3914.49,3925.83,3879.43,22740908.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-19,3925.07,3948.89,3948.89,3877.01,19666456.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-20,3964.43,3871.65,4015.82,3871.65,23526594.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-21,3856.55,3893.46,3898.85,3839.46,18158076.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-22,3899.08,3733.07,3906.51,3684.15,20436128.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-25,3755.77,3520.56,3755.77,3518.69,18020936.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-26,3433.88,3584.94,3584.94,3423.15,15104055.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-27,3605.89,3689.45,3698.38,3574.76,15505414.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-28,3685.75,3520.95,3712.75,3520.95,18060018.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-29,3462.66,3464.77,3543.88,3434.46,16235722.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-02,3453.14,3507.61,3535.83,3412.32,12798170.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-03,3540.56,3562.61,3562.61,3498.74,11095435.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-04,3571.3,3493.31,3578.68,3491.47,8943639.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-05,3432.99,3282.7,3432.99,3282.6,9823737.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-06,3339.62,3441.75,3441.75,3207.75,12398834.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-09,3481.8,3556.27,3569.12,3463.82,12831919.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-10,3557.07,3459.47,3557.07,3450.22,10700074.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-11,3436.26,3481.43,3481.43,3420.92,7277322.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-12,3490.17,3490.21,3501.04,3458.69,7203267.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-13,3497.38,3512.59,3516.64,3458.87,6881953.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-16,3496.27,3393.22,3496.27,3393.22,6839725.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-17,3386.97,3439.32,3468.58,3371.79,7194974.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-18,3438.0,3455.17,3499.46,3416.46,10204531.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-19,3449.35,3427.62,3450.7,3413.04,7240099.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-20,3426.51,3540.01,3540.01,3426.51,11915863.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-23,3552.63,3773.1,3773.1,3552.63,22147608.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-24,3813.07,3779.9,3862.42,3779.54,22543232.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-25,3781.76,3892.08,3892.08,3781.76,15688360.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-26,3924.94,3932.66,3946.03,3889.16,15631636.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-27,3906.14,3986.81,3998.22,3893.06,16670395.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-30,3989.97,4103.8,4129.79,3989.97,19128774.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-31,4105.51,4164.31,4176.73,4105.51,18176326.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-01,4179.71,3995.39,4195.65,3994.21,18920348.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-02,4014.75,4128.08,4147.6,4013.16,15838332.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-03,4160.35,4199.18,4202.93,4133.09,16654858.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-06,4250.11,4344.7,4344.7,4250.11,18448160.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-07,4352.65,4363.1,4411.65,4290.96,19877136.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-08,4326.79,4274.46,4326.79,4220.32,16058638.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-09,4261.93,4339.99,4340.23,4261.93,12819898.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-10,4329.33,4303.02,4355.46,4244.95,15182674.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-13,4307.63,4309.88,4351.75,4277.58,18604152.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-14,4316.9,4364.19,4364.19,4298.8,13594594.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-15,4375.41,4364.6,4390.49,4272.44,14067204.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-16,4346.49,4296.48,4346.49,4264.39,12854235.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-17,4296.48,4217.18,4340.31,4206.66,12527545.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-20,4333.74,4489.15,4489.15,4333.74,16539934.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-21,4536.68,4563.69,4592.11,4525.74,17061604.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-22,4492.01,4596.34,4619.39,4492.01,16922420.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-23,4619.51,4658.62,4658.62,4561.15,15534964.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-24,4723.4,4751.49,4771.14,4717.3,16961988.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-27,4797.05,4782.9,4825.98,4743.79,18558366.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-28,4755.96,4794.06,4795.46,4668.77,18857786.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-29,4766.12,4712.66,4809.31,4677.99,18920020.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-30,4736.69,4796.76,4799.14,4711.77,16288995.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-31,4818.06,4894.49,4905.3,4818.06,17767486.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-03,4933.21,5118.68,5128.18,4933.21,21729364.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-04,5150.87,5091.3,5156.86,5072.19,18973380.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-05,5119.32,5137.76,5137.76,5033.47,15759115.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-06,5178.93,5201.4,5238.36,5175.08,16437886.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-07,5194.92,5108.77,5194.92,5107.39,18835460.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-10,5035.6,5202.21,5202.21,5008.3,14671050.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-11,5199.4,4935.77,5244.04,4932.25,16809940.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-12,4906.99,5038.36,5038.36,4892.76,15773393.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-13,5071.47,5209.68,5209.68,5062.81,15149495.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-14,5235.01,5331.35,5333.85,5188.51,16878824.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-17,5319.07,5514.92,5514.92,5319.07,18061892.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-18,5555.04,5500.99,5556.65,5426.18,19873446.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-19,5504.13,5414.06,5504.13,5384.79,15435528.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-20,5435.91,5481.64,5489.21,5410.49,13816555.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-21,5494.39,5404.17,5494.39,5288.52,13853934.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-24,5413.03,5445.44,5464.93,5294.33,12218875.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-25,5447.15,5313.86,5447.15,5286.69,9670608.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-26,5297.29,5188.44,5338.43,5181.75,8875896.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-27,5186.4,5280.09,5280.09,5157.22,7280730.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-28,5338.55,5426.17,5435.98,5338.55,11209288.0,,,,,,,,,,,,,,,,,,,,,,,,
