date,close,市盈率,市盈率估值,市净率,市净率估值
2011-08-02,3020.87,53.46,偏高,4.23,高估
2011-08-03,3036.24,53.84,偏高,4.26,高估
2011-08-04,3040.86,53.76,偏高,4.26,高估
2011-08-05,2982.66,52.79,偏高,4.18,偏高
2011-08-08,2834.72,49.69,偏高,3.97,偏高
2011-08-09,2839.91,49.72,偏高,3.97,偏高
2011-08-10,2890.75,50.61,偏高,4.03,偏高
2011-08-11,2928.47,51.35,偏高,4.09,偏高
2011-08-12,2979.45,52.23,偏高,4.16,偏高
2011-08-15,3025.74,53.11,偏高,4.23,高估
2011-08-16,2997.07,52.15,偏高,4.18,偏高
2011-08-17,2984.15,51.78,偏高,4.18,偏高
2011-08-18,2938.26,50.4,偏高,4.1,偏高
2011-08-19,2915.6,50.0,偏高,4.07,偏高
2011-08-22,2884.3,49.55,偏高,4.03,偏高
2011-08-23,2943.67,50.51,偏高,4.11,偏高
2011-08-24,2963.11,50.73,偏高,4.14,偏高
2011-08-25,3001.0,51.42,偏高,4.18,偏高
2011-08-26,3014.51,51.51,偏高,4.2,高估
2011-08-29,2998.5,50.79,偏高,4.16,偏高
2011-08-30,2963.09,50.92,偏高,4.11,偏高
2011-08-31,2933.64,50.53,偏高,4.08,偏高
2011-09-01,2916.02,50.23,偏高,4.05,偏高
2011-09-02,2895.0,49.86,偏高,4.02,偏高
2011-09-05,2818.29,48.53,正常,3.91,偏高
2011-09-06,2795.73,48.11,正常,3.88,偏高
2011-09-07,2862.31,49.3,偏高,3.97,偏高
2011-09-08,2838.9,48.92,偏高,3.94,偏高
2011-09-09,2818.4,48.57,正常,3.91,偏高
2011-09-13,2768.86,47.72,正常,3.84,偏高
2011-09-14,2798.53,48.24,正常,3.88,偏高
2011-09-15,2801.8,48.33,正常,3.89,偏高
2011-09-16,2797.49,48.26,正常,3.88,偏高
2011-09-19,2728.77,47.12,正常,3.79,偏高
2011-09-20,2741.87,47.32,正常,3.81,偏高
2011-09-21,2821.33,48.66,正常,3.92,偏高
2011-09-22,2745.62,47.39,正常,3.81,偏高
2011-09-23,2733.91,47.1,正常,3.79,偏高
2011-09-26,2694.41,46.41,正常,3.74,偏高
2011-09-27,2697.54,46.34,正常,3.73,偏高
2011-09-28,2651.82,45.55,正常,3.67,正常
2011-09-29,2565.41,44.16,正常,3.56,正常
2011-09-30,2562.38,44.1,正常,3.55,正常
2011-10-10,2549.74,44.98,正常,3.51,正常
2011-10-11,2532.56,44.51,正常,3.48,正常
2011-10-12,2618.13,44.8,正常,3.63,正常
2011-10-13,2662.93,45.5,正常,3.69,正常
2011-10-14,2657.45,45.22,正常,3.68,正常
2011-10-17,2677.07,45.52,正常,3.71,偏高
2011-10-18,2606.03,44.31,正常,3.61,正常
2011-10-19,2592.92,43.98,正常,3.58,正常
2011-10-20,2519.18,42.65,正常,3.48,正常
2011-10-21,2449.72,41.59,正常,3.38,正常
2011-10-24,2475.4,42.15,正常,3.4,正常
2011-10-25,2558.81,43.85,正常,3.51,正常
2011-10-26,2579.06,44.37,正常,3.54,正常
2011-10-27,2566.02,44.4,正常,3.51,正常
2011-10-28,2621.31,44.83,正常,3.58,正常
2011-10-31,2653.92,46.66,正常,3.63,正常
2011-11-01,2663.63,46.78,正常,3.64,正常
2011-11-02,2767.95,48.53,正常,3.78,偏高
2011-11-03,2793.26,49.01,偏高,3.82,偏高
2011-11-04,2801.66,49.18,偏高,3.83,偏高
2011-11-07,2782.21,48.81,正常,3.8,偏高
2011-11-08,2740.08,48.03,正常,3.74,偏高
2011-11-09,2808.65,49.24,偏高,3.83,偏高
2011-11-10,2775.14,48.78,正常,3.79,偏高
2011-11-11,2773.65,48.72,正常,3.79,偏高
2011-11-14,2840.03,49.91,偏高,3.88,偏高
2011-11-15,2867.6,50.32,偏高,3.91,偏高
2011-11-16,2813.53,49.31,偏高,3.84,偏高
2011-11-17,2807.22,49.27,偏高,3.83,偏高
2011-11-18,2701.74,47.45,正常,3.69,正常
2011-11-21,2696.85,47.35,正常,3.68,正常
2011-11-22,2693.66,47.33,正常,3.68,正常
2011-11-23,2678.83,47.05,正常,3.66,正常
2011-11-24,2687.92,47.2,正常,3.66,正常
2011-11-25,2658.36,46.74,正常,3.63,正常
2011-11-28,2649.91,46.59,正常,3.62,正常
2011-11-29,2700.4,47.42,正常,3.68,正常
2011-11-30,2571.19,45.25,正常,3.51,正常
2011-12-01,2610.42,45.94,正常,3.57,正常
2011-12-02,2555.27,44.94,正常,3.49,正常
2011-12-05,2454.13,43.29,正常,3.36,正常
2011-12-06,2465.39,43.5,正常,3.38,正常
2011-12-07,2475.36,43.69,正常,3.39,正常
2011-12-08,2491.12,44.06,正常,3.42,正常
2011-12-09,2459.6,43.5,正常,3.38,正常
2011-12-12,2428.23,42.95,正常,3.33,正常
2011-12-13,2346.64,41.6,正常,3.23,正常
2011-12-14,2298.96,40.82,正常,3.17,低估
2011-12-15,2264.77,40.24,低估,3.12,低估
2011-12-16,2340.77,41.56,正常,3.23,正常
2011-12-19,2366.43,42.1,正常,3.27,正常
2011-12-20,2337.52,41.63,正常,3.23,正常
2011-12-21,2281.08,40.62,低估,3.15,低估
2011-12-22,2262.43,40.35,低估,3.13,低估
2011-12-23,2272.93,40.53,低估,3.14,低估
2011-12-26,2256.08,40.2,低估,3.12,低估
2011-12-27,2183.85,38.96,低估,3.02,低估
2011-12-28,2173.67,38.71,低估,3.0,低估
2011-12-29,2175.25,38.73,低估,3.0,低估
2011-12-30,2219.02,39.5,低估,3.06,低估
2012-01-04,2146.71,38.36,低估,2.96,低估
2012-01-05,2038.34,36.42,低估,2.81,低估
2012-01-06,2059.61,36.71,低估,2.83,低估
2012-01-09,2145.51,38.17,低估,2.95,低估
2012-01-10,2227.79,39.63,低估,3.06,低估
2012-01-11,2247.16,39.96,低估,3.09,低估
2012-01-12,2237.5,39.78,低估,3.07,低估
2012-01-13,2141.29,38.09,低估,2.94,低估
2012-01-16,2058.46,36.52,低估,2.82,低估
2012-01-17,2172.32,38.39,低估,2.97,低估
2012-01-18,2097.38,36.87,低估,2.85,低估
2012-01-19,2112.13,37.16,低估,2.87,低估
2012-01-20,2138.27,37.62,低估,2.91,低估
2012-01-30,2140.02,37.66,低估,2.91,低估
2012-01-31,2142.34,37.65,低估,2.91,低估
2012-02-01,2131.67,37.48,低估,2.9,低估
2012-02-02,2178.94,38.29,低估,2.96,低估
2012-02-03,2235.21,39.29,低估,3.04,低估
2012-02-06,2253.69,39.59,低估,3.06,低估
2012-02-07,2216.2,38.48,低估,3.01,低估
2012-02-08,2279.26,39.52,低估,3.09,低估
2012-02-09,2298.62,39.77,低估,3.12,低估
2012-02-10,2301.27,39.79,低估,3.12,低估
2012-02-13,2358.53,40.71,低估,3.19,正常
2012-02-14,2345.95,40.37,低估,3.18,低估
2012-02-15,2395.14,41.17,正常,3.24,正常
2012-02-16,2389.42,41.02,正常,3.23,正常
2012-02-17,2379.91,40.84,正常,3.22,正常
2012-02-20,2392.14,41.04,正常,3.24,正常
2012-02-21,2438.24,41.44,正常,3.29,正常
2012-02-22,2495.47,42.09,正常,3.37,正常
2012-02-23,2489.17,41.96,正常,3.36,正常
2012-02-24,2501.59,41.98,正常,3.37,正常
2012-02-27,2511.22,42.3,正常,3.39,正常
2012-02-28,2490.8,42.09,正常,3.35,正常
2012-02-29,2443.76,42.99,正常,3.28,正常
2012-03-01,2475.65,43.6,正常,3.32,正常
2012-03-02,2514.55,44.28,正常,3.37,正常
2012-03-05,2524.2,44.43,正常,3.38,正常
2012-03-06,2506.46,44.23,正常,3.36,正常
