date,close,市盈率,市盈率估值,市净率,市净率估值
2011-08-02,5902.07,36.97,偏高,4.92,高估
2011-08-03,5908.29,37.08,偏高,4.93,高估
2011-08-04,5908.53,37.05,偏高,4.93,高估
2011-08-05,5838.31,36.57,偏高,4.87,高估
2011-08-08,5624.01,35.05,偏高,4.67,高估
2011-08-09,5609.24,34.95,偏高,4.65,高估
2011-08-10,5669.94,35.38,偏高,4.71,高估
2011-08-11,5836.24,36.35,偏高,4.84,高估
2011-08-12,5894.61,36.78,偏高,4.88,高估
2011-08-15,5954.0,37.13,偏高,4.93,高估
2011-08-16,5889.4,36.66,偏高,4.87,高估
2011-08-17,5855.87,36.45,偏高,4.85,高估
2011-08-18,5755.6,35.81,偏高,4.76,高估
2011-08-19,5737.48,35.76,偏高,4.75,高估
2011-08-22,5649.09,35.33,偏高,4.69,高估
2011-08-23,5713.88,35.58,偏高,4.72,高估
2011-08-24,5735.47,35.59,偏高,4.74,高估
2011-08-25,5825.74,35.98,偏高,4.8,高估
2011-08-26,5841.67,35.52,偏高,4.8,高估
2011-08-29,5836.5,35.58,偏高,4.79,高估
2011-08-30,5773.47,35.26,偏高,4.73,高估
2011-08-31,5754.99,34.96,偏高,4.71,高估
2011-09-01,5699.31,34.65,偏高,4.66,高估
2011-09-02,5630.22,34.3,偏高,4.62,高估
2011-09-05,5505.53,33.53,正常,4.51,高估
2011-09-06,5454.3,33.2,正常,4.47,高估
2011-09-07,5543.54,33.82,正常,4.55,高估
2011-09-08,5536.36,33.79,正常,4.55,高估
2011-09-09,5476.37,33.46,正常,4.5,高估
2011-09-13,5374.21,32.83,正常,4.42,高估
2011-09-14,5410.92,33.07,正常,4.45,高估
2011-09-15,5410.23,33.07,正常,4.45,高估
2011-09-16,5409.45,33.05,正常,4.45,高估
2011-09-19,5332.61,32.56,正常,4.38,高估
2011-09-20,5348.15,32.63,正常,4.39,高估
2011-09-21,5486.21,33.46,正常,4.5,高估
2011-09-22,5324.32,32.48,正常,4.37,高估
2011-09-23,5276.56,32.2,正常,4.33,高估
2011-09-26,5177.33,31.61,正常,4.26,偏高
2011-09-27,5181.67,31.65,正常,4.26,偏高
2011-09-28,5110.21,31.24,正常,4.21,偏高
2011-09-29,4986.63,30.48,正常,4.1,偏高
2011-09-30,4984.52,30.49,正常,4.1,偏高
2011-10-10,4987.45,30.48,正常,4.1,偏高
2011-10-11,4967.91,30.35,正常,4.09,偏高
2011-10-12,5124.87,31.27,正常,4.21,偏高
2011-10-13,5184.08,31.64,正常,4.26,偏高
2011-10-14,5146.69,31.42,正常,4.23,偏高
2011-10-17,5147.59,31.4,正常,4.23,偏高
2011-10-18,5013.41,30.49,正常,4.12,偏高
2011-10-19,4994.11,30.6,正常,4.1,偏高
2011-10-20,4865.22,29.76,正常,3.99,偏高
2011-10-21,4816.24,29.66,低估,3.95,正常
2011-10-24,4903.62,30.13,正常,4.0,偏高
2011-10-25,5012.85,29.41,低估,4.03,偏高
2011-10-26,5068.39,29.58,低估,4.06,偏高
2011-10-27,5076.56,29.58,低估,4.05,偏高
2011-10-28,5163.21,29.62,低估,4.09,偏高
2011-10-31,5171.47,29.83,正常,4.07,偏高
2011-11-01,5204.22,30.01,正常,4.09,偏高
2011-11-02,5324.16,30.69,正常,4.19,偏高
2011-11-03,5372.31,30.99,正常,4.23,偏高
2011-11-04,5383.94,31.05,正常,4.24,偏高
2011-11-07,5374.45,31.0,正常,4.23,偏高
2011-11-08,5307.83,30.62,正常,4.18,偏高
2011-11-09,5374.1,31.02,正常,4.23,偏高
2011-11-10,5358.56,30.93,正常,4.22,偏高
2011-11-11,5353.65,30.93,正常,4.22,偏高
2011-11-14,5466.47,31.58,正常,4.31,高估
2011-11-15,5485.15,31.75,正常,4.33,高估
2011-11-16,5358.92,31.02,正常,4.23,偏高
2011-11-17,5362.69,31.06,正常,4.24,偏高
2011-11-18,5239.41,30.38,正常,4.14,偏高
2011-11-21,5241.67,30.4,正常,4.15,偏高
2011-11-22,5222.06,30.25,正常,4.13,偏高
2011-11-23,5202.87,30.14,正常,4.11,偏高
2011-11-24,5251.22,30.4,正常,4.15,偏高
2011-11-25,5220.05,30.17,正常,4.11,偏高
2011-11-28,5269.29,30.45,正常,4.15,偏高
2011-11-29,5350.62,30.94,正常,4.22,偏高
2011-11-30,5207.6,30.06,正常,4.1,偏高
2011-12-01,5327.15,30.75,正常,4.19,偏高
2011-12-02,5255.33,30.32,正常,4.14,偏高
2011-12-05,5092.3,29.37,低估,4.01,偏高
2011-12-06,5090.23,29.34,低估,4.0,偏高
2011-12-07,5103.56,29.4,低估,4.01,偏高
2011-12-08,5070.42,29.27,低估,3.99,偏高
2011-12-09,5019.97,28.99,低估,3.95,正常
2011-12-12,4961.09,28.63,低估,3.9,正常
2011-12-13,4823.33,27.81,低估,3.79,正常
2011-12-14,4761.28,27.45,低估,3.74,正常
2011-12-15,4662.65,26.94,低估,3.67,正常
2011-12-16,4763.12,27.51,低估,3.75,正常
2011-12-19,4780.67,27.6,低估,3.76,正常
2011-12-20,4768.7,27.53,低估,3.76,正常
2011-12-21,4693.29,27.07,低估,3.69,正常
2011-12-22,4659.81,26.9,低估,3.67,正常
2011-12-23,4666.86,26.94,低估,3.67,正常
2011-12-26,4601.4,26.59,低估,3.63,正常
2011-12-27,4486.7,25.96,低估,3.54,正常
2011-12-28,4429.41,25.69,低估,3.5,正常
2011-12-29,4442.86,25.73,低估,3.51,正常
2011-12-30,4500.14,26.08,低估,3.56,正常
2012-01-04,4367.57,25.82,低估,3.47,低估
2012-01-05,4180.92,24.71,低估,3.32,低估
2012-01-06,4165.84,24.63,低估,3.31,低估
2012-01-09,4303.07,25.38,低估,3.41,低估
2012-01-10,4453.49,26.28,低估,3.53,正常
2012-01-11,4441.68,26.39,低估,3.52,正常
2012-01-12,4425.71,26.36,低估,3.43,低估
2012-01-13,4261.68,25.35,低估,3.3,低估
2012-01-16,4100.67,24.37,低估,3.17,低估
2012-01-17,4278.0,25.4,低估,3.3,低估
2012-01-18,4107.55,24.59,低估,3.17,低估
2012-01-19,4154.74,24.92,低估,3.21,低估
2012-01-20,4281.06,25.86,低估,3.31,低估
2012-01-30,4245.17,25.65,低估,3.28,低估
