date,close,市盈率,市盈率估值,市净率,市净率估值
2011-08-02,7022.33,41.07,高估,6.11,高估
2011-08-03,7095.15,41.55,高估,6.15,高估
2011-08-04,7147.06,41.68,高估,6.2,高估
2011-08-05,7058.6,41.21,高估,6.13,高估
2011-08-08,6861.88,39.61,高估,5.95,高估
2011-08-09,6892.38,39.68,高估,5.97,高估
2011-08-10,7035.55,40.49,高估,6.1,高估
2011-08-11,7244.39,41.6,高估,6.27,高估
2011-08-12,7297.54,41.96,高估,6.32,高估
2011-08-15,7317.32,41.73,高估,6.32,高估
2011-08-16,7250.48,40.75,高估,6.23,高估
2011-08-17,7238.82,40.67,高估,6.22,高估
2011-08-18,7140.92,40.09,高估,6.13,高估
2011-08-19,7128.03,40.21,高估,6.15,高估
2011-08-22,6986.42,39.27,高估,6.02,高估
2011-08-23,7049.62,39.32,高估,6.08,高估
2011-08-24,7070.34,39.42,高估,6.1,高估
2011-08-25,7170.81,39.94,高估,6.17,高估
2011-08-26,7196.74,40.07,高估,6.19,高估
2011-08-29,7242.58,40.15,高估,6.22,高估
2011-08-30,7191.71,39.89,高估,6.18,高估
2011-08-31,7178.94,39.64,高估,6.22,高估
2011-09-01,7081.36,39.06,高估,6.13,高估
2011-09-02,7003.16,38.62,高估,6.06,高估
2011-09-05,6893.37,38.04,高估,5.97,高估
2011-09-06,6790.21,37.49,高估,5.88,高估
2011-09-07,6938.13,38.32,高估,6.01,高估
2011-09-08,6879.87,38.02,高估,5.97,高估
2011-09-09,6841.17,37.95,高估,5.85,高估
2011-09-13,6736.92,37.34,高估,5.76,高估
2011-09-14,6732.19,37.23,高估,5.74,高估
2011-09-15,6748.88,37.32,高估,5.75,高估
2011-09-16,6771.44,37.5,高估,5.78,高估
2011-09-19,6693.45,37.1,高估,5.72,高估
2011-09-20,6682.93,37.04,高估,5.71,高估
2011-09-21,6835.63,37.87,高估,5.84,高估
2011-09-22,6666.27,36.91,高估,5.69,高估
2011-09-23,6559.52,36.37,高估,5.61,高估
2011-09-26,6424.4,35.59,高估,5.49,高估
2011-09-27,6442.92,35.75,高估,5.51,高估
2011-09-28,6351.71,35.26,高估,5.44,高估
2011-09-29,6242.37,34.74,高估,5.35,高估
2011-09-30,6272.68,34.95,高估,5.39,高估
2011-10-10,6213.11,34.63,高估,5.34,高估
2011-10-11,6156.78,34.31,高估,5.29,高估
2011-10-12,6340.89,35.32,高估,5.44,高估
2011-10-13,6418.31,35.73,高估,5.51,高估
2011-10-14,6376.75,35.53,高估,5.48,高估
2011-10-17,6471.32,36.09,高估,5.56,高估
2011-10-18,6379.95,34.88,高估,5.45,高估
2011-10-19,6366.92,34.89,高估,5.44,高估
2011-10-20,6189.72,33.76,高估,5.28,高估
2011-10-21,6157.71,33.69,高估,5.25,高估
2011-10-24,6289.82,34.43,高估,5.35,高估
2011-10-25,6402.86,34.52,高估,5.42,高估
2011-10-26,6456.42,34.71,高估,5.45,高估
2011-10-27,6468.81,34.5,高估,5.41,高估
2011-10-28,6576.24,34.92,高估,5.48,高估
2011-10-31,6595.49,33.91,高估,5.39,高估
2011-11-01,6627.93,34.04,高估,5.41,高估
2011-11-02,6724.71,34.55,高估,5.49,高估
2011-11-03,6745.33,34.61,高估,5.5,高估
2011-11-04,6785.94,35.22,高估,5.45,高估
2011-11-07,6761.18,35.12,高估,5.44,高估
2011-11-08,6710.62,34.85,高估,5.39,高估
2011-11-09,6806.93,35.3,高估,5.46,高估
2011-11-10,6740.3,34.99,高估,5.42,高估
2011-11-11,6721.55,34.87,高估,5.4,高估
2011-11-14,6844.77,35.49,高估,5.49,高估
2011-11-15,6828.28,35.35,高估,5.47,高估
2011-11-16,6691.86,34.68,高估,5.37,高估
2011-11-17,6698.29,34.71,高估,5.37,高估
2011-11-18,6574.01,34.1,高估,5.28,高估
2011-11-21,6595.56,34.27,高估,5.3,高估
2011-11-22,6688.89,34.78,高估,5.38,高估
2011-11-23,6728.42,34.98,高估,5.41,高估
2011-11-24,6753.28,35.05,高估,5.42,高估
2011-11-25,6775.78,35.2,高估,5.45,高估
2011-11-28,6832.17,35.54,高估,5.5,高估
2011-11-29,6869.5,35.65,高估,5.52,高估
2011-11-30,6707.25,35.01,高估,5.36,高估
2011-12-01,6779.4,35.37,高估,5.41,高估
2011-12-02,6696.94,34.99,高估,5.35,高估
2011-12-05,6505.59,34.0,高估,5.2,高估
2011-12-06,6445.07,33.7,高估,5.16,高估
2011-12-07,6464.57,33.78,高估,5.17,高估
2011-12-08,6429.27,33.61,高估,5.14,高估
2011-12-09,6311.43,33.02,高估,5.05,高估
2011-12-12,6239.24,32.65,高估,5.0,偏高
2011-12-13,6097.1,31.96,偏高,4.89,偏高
2011-12-14,6025.85,31.69,偏高,4.85,偏高
2011-12-15,5935.56,31.28,偏高,4.79,偏高
2011-12-16,6040.35,31.9,偏高,4.88,偏高
2011-12-19,6007.61,31.75,偏高,4.83,偏高
2011-12-20,5986.76,31.66,偏高,4.82,偏高
2011-12-21,5884.56,31.12,偏高,4.74,偏高
2011-12-22,5850.81,31.01,偏高,4.72,偏高
2011-12-23,5867.98,31.11,偏高,4.74,偏高
2011-12-26,5780.53,30.59,偏高,4.66,偏高
2011-12-27,5599.22,29.68,偏高,4.52,偏高
2011-12-28,5568.18,29.51,偏高,4.49,偏高
2011-12-29,5611.58,29.75,偏高,4.52,偏高
2011-12-30,5712.13,30.29,偏高,4.61,偏高
2012-01-04,5517.31,29.07,偏高,4.38,偏高
2012-01-05,5353.18,28.26,正常,4.26,正常
2012-01-06,5370.66,28.4,正常,4.28,正常
2012-01-09,5495.86,29.03,偏高,4.37,偏高
2012-01-10,5714.32,30.16,偏高,4.55,偏高
2012-01-11,5703.92,30.03,偏高,4.53,偏高
2012-01-12,5663.62,29.57,偏高,4.47,偏高
2012-01-13,5526.76,28.93,偏高,4.38,偏高
2012-01-16,5282.9,27.66,正常,4.19,正常
2012-01-17,5495.5,28.69,正常,4.34,正常
2012-01-18,5310.5,27.67,正常,4.19,正常
2012-01-19,5387.28,28.1,正常,4.25,正常
2012-01-20,5531.75,28.87,偏高,4.36,偏高
2012-01-30,5483.99,28.57,正常,4.32,正常
2012-01-31,5525.95,28.77,正常,4.35,正常
2012-02-01,5531.95,28.78,正常,4.35,正常
2012-02-02,5598.71,29.09,偏高,4.4,偏高
2012-02-03,5642.12,29.32,偏高,4.43,偏高
2012-02-06,5720.81,29.71,偏高,4.49,偏高
2012-02-07,5639.16,29.3,偏高,4.43,偏高
2012-02-08,5761.72,29.91,偏高,4.52,偏高
2012-02-09,5794.04,30.09,偏高,4.55,偏高
2012-02-10,5824.52,30.21,偏高,4.57,偏高
2012-02-13,5897.0,30.61,偏高,4.63,偏高
2012-02-14,5894.22,30.6,偏高,4.63,偏高
