date,close,市盈率,市盈率估值,市净率,市净率估值
2010-06-01,973.23,69.4,高估,5.1,偏高
2010-06-02,997.12,71.05,高估,5.23,偏高
2010-06-03,998.39,71.11,高估,5.23,偏高
2010-06-04,1027.68,72.24,高估,5.23,偏高
2010-06-07,1069.47,75.12,高估,5.44,高估
2010-06-08,1067.15,74.94,高估,5.42,高估
2010-06-09,1077.82,75.65,高估,5.47,高估
2010-06-10,1117.48,77.53,高估,5.58,高估
2010-06-11,1122.2,77.87,高估,5.61,高估
2010-06-17,1064.84,73.76,高估,5.31,偏高
2010-06-18,1000.28,69.26,高估,4.99,偏高
2010-06-21,1040.8,72.08,高估,5.2,偏高
2010-06-22,1035.0,71.64,高估,5.16,偏高
2010-06-23,1047.34,72.52,高估,5.23,偏高
2010-06-24,1050.6,72.72,高估,5.25,偏高
2010-06-25,1016.28,70.27,高估,5.07,偏高
2010-06-28,987.83,68.34,高估,4.93,偏高
2010-06-29,913.31,63.26,高估,4.56,正常
2010-06-30,919.31,63.69,高估,4.59,偏高
2010-07-01,882.19,61.18,高估,4.41,正常
2010-07-02,873.12,60.47,高估,4.36,正常
2010-07-05,862.27,59.7,高估,4.31,正常
2010-07-06,893.72,61.91,高估,4.47,正常
2010-07-07,908.55,62.92,高估,4.54,正常
2010-07-08,905.51,62.67,高估,4.52,正常
2010-07-09,932.15,64.48,高估,4.65,偏高
2010-07-12,930.17,63.39,高估,4.56,正常
2010-07-13,931.08,63.38,高估,4.56,正常
2010-07-14,922.36,62.8,高估,4.52,正常
2010-07-15,892.56,60.81,高估,4.37,正常
2010-07-16,892.3,60.77,高估,4.37,正常
2010-07-19,908.05,61.81,高估,4.45,正常
2010-07-20,937.02,63.83,高估,4.59,偏高
2010-07-21,941.25,63.96,高估,4.6,偏高
2010-07-22,950.21,64.59,高估,4.65,偏高
2010-07-23,960.59,64.72,高估,4.64,偏高
2010-07-26,966.15,65.09,高估,4.66,偏高
2010-07-27,957.97,64.62,高估,4.63,偏高
2010-07-28,972.53,65.77,高估,4.58,偏高
2010-07-29,975.36,65.46,高估,4.59,偏高
2010-07-30,968.43,64.6,高估,4.54,正常
2010-08-02,994.23,66.29,高估,4.66,偏高
2010-08-03,975.65,64.97,高估,4.57,偏高
2010-08-04,978.01,65.11,高估,4.58,偏高
2010-08-05,987.35,65.74,高估,4.62,偏高
2010-08-06,1011.39,67.32,高估,4.74,偏高
2010-08-09,1032.34,68.75,高估,4.84,偏高
