date,close,市盈率,市盈率估值,市净率,市净率估值
2007-12-14,27563.641,20.06,高估,3.34,高估
2007-12-17,26596.58,19.39,高估,3.23,高估
2007-12-18,26732.869,19.43,高估,3.23,高估
2007-12-19,27029.26,19.63,高估,3.27,高估
2007-12-20,27017.09,19.65,高估,3.27,高估
2007-12-21,27626.92,20.05,高估,3.34,高估
2007-12-24,28128.801,20.46,高估,3.41,高估
2007-12-27,27842.93,20.23,高估,3.37,高估
2007-12-28,27370.6,19.8,高估,3.3,高估
2007-12-31,27812.699,20.14,高估,3.36,高估
2008-01-02,27560.52,19.92,高估,3.33,高估
2008-01-03,26887.279,19.3,高估,3.22,高估
2008-01-04,27519.69,19.81,高估,3.31,高估
2008-01-07,27179.49,19.5,高估,3.26,高估
2008-01-08,27112.9,19.52,高估,3.26,高估
2008-01-09,27615.85,19.98,高估,3.34,高估
2008-01-10,27230.859,19.69,高估,3.3,高估
2008-01-11,26867.01,19.43,高估,3.26,高估
2008-01-14,26468.131,19.08,高估,3.2,高估
2008-01-15,25837.779,18.55,高估,3.11,高估
2008-01-16,24450.85,17.55,高估,2.94,高估
2008-01-17,25114.981,18.1,高估,3.03,高估
2008-01-18,25201.869,18.25,高估,3.05,高估
2008-01-21,23818.859,17.12,高估,2.86,高估
2008-01-22,21757.631,15.47,高估,2.58,高估
2008-01-23,24090.17,17.26,高估,2.88,高估
2008-01-24,23539.27,16.82,高估,2.81,高估
2008-01-25,25122.369,18.04,高估,3.01,高估
2008-01-28,24053.609,17.21,高估,2.87,高估
2008-01-29,24291.801,17.33,高估,2.89,高估
2008-01-30,23653.69,16.73,高估,2.79,高估
2008-01-31,23455.74,16.5,高估,2.76,高估
2008-02-01,24123.58,17.2,高估,2.88,高估
2008-02-04,25032.08,17.99,高估,3.01,高估
2008-02-05,24808.699,17.86,高估,2.99,高估
2008-02-06,23469.461,16.78,高估,2.81,高估
2008-02-11,22616.109,16.14,高估,2.7,高估
