date,close,市盈率,市盈率估值,市净率,市净率估值
2020-07-27,6774.78,42.28,高估,6.96,高估
2020-07-28,7012.62,43.7,高估,7.19,高估
2020-07-29,7085.15,43.59,高估,7.18,高估
2020-07-30,7100.21,43.57,高估,7.18,高估
2020-07-31,7155.03,43.69,高估,7.2,高估
2020-08-03,7292.45,44.14,高估,7.27,高估
2020-08-04,7436.59,45.44,高估,7.49,高估
2020-08-05,7547.2,46.0,高估,7.58,高估
2020-08-06,7576.84,45.9,高估,7.58,高估
2020-08-07,7386.66,44.37,高估,7.33,高估
2020-08-10,7176.17,42.95,高估,7.1,高估
2020-08-11,7129.84,43.86,高估,7.15,高估
2020-08-12,7010.72,42.55,高估,6.86,高估
2020-08-13,7031.81,42.41,高估,6.79,高估
2020-08-14,7038.26,42.32,高估,6.78,高估
2020-08-17,7075.03,40.19,高估,6.56,高估
2020-08-18,7196.01,40.25,高估,6.75,高估
2020-08-19,7150.41,40.32,高估,6.76,高估
2020-08-20,7167.6,37.52,偏高,6.61,高估
2020-08-21,7168.87,37.74,偏高,6.65,高估
2020-08-24,7329.91,39.66,高估,6.97,高估
2020-08-25,7223.67,39.61,高估,6.96,高估
2020-08-26,7275.44,40.3,高估,7.12,高估
2020-08-27,7540.86,40.92,高估,7.21,高估
2020-08-28,7580.9,40.03,高估,7.09,高估
2020-08-31,7543.86,39.98,高估,7.08,高估
2020-09-01,7674.71,40.42,高估,7.16,高估
2020-09-02,7909.39,41.45,高估,7.34,高估
2020-09-03,7706.06,40.44,高估,7.16,高估
2020-09-04,7588.02,39.33,高估,6.96,高估
2020-09-07,7240.96,38.23,高估,6.77,高估
2020-09-08,7123.28,38.07,高估,6.74,高估
2020-09-09,7015.64,37.37,偏高,6.62,高估
2020-09-10,6999.72,37.4,偏高,6.62,高估
2020-09-11,7178.27,38.11,高估,6.75,高估
2020-09-14,7317.31,38.67,高估,6.85,高估
2020-09-15,7348.72,38.66,高估,6.84,高估
2020-09-16,7430.09,39.21,高估,6.94,高估
2020-09-17,7301.56,38.4,高估,6.8,高估
2020-09-18,7371.82,38.6,高估,6.83,高估
2020-09-21,7195.75,37.77,偏高,6.69,高估
2020-09-22,7233.32,37.88,偏高,6.71,高估
2020-09-23,7298.62,38.23,高估,6.77,高估
2020-09-24,7054.28,37.28,偏高,6.6,高估
2020-09-25,6918.77,36.85,偏高,6.52,高估
2020-09-28,6978.59,37.35,偏高,6.61,高估
2020-09-29,6977.3,37.43,偏高,6.63,高估
2020-09-30,7087.64,38.24,高估,6.77,高估
2020-10-05,7092.06,38.97,高估,6.9,高估
2020-10-06,7336.35,39.31,高估,6.96,高估
2020-10-07,7494.59,40.2,高估,7.12,高估
2020-10-08,7511.11,40.2,高估,7.12,高估
2020-10-09,7503.27,40.24,高估,7.12,高估
2020-10-12,7748.85,41.36,高估,7.32,高估
2020-10-14,7819.84,42.19,高估,7.47,高估
2020-10-15,7541.04,40.49,高估,7.17,高估
2020-10-16,7604.61,41.2,高估,7.29,高估
2020-10-19,7570.71,41.33,高估,7.32,高估
2020-10-20,7644.48,41.59,高估,7.36,高估
2020-10-21,7618.06,41.8,高估,7.4,高估
2020-10-22,7620.34,41.73,高估,7.39,高估
2020-10-23,7484.48,41.3,高估,7.31,高估
2020-10-27,7547.66,42.0,高估,7.43,高估
2020-10-28,7656.45,43.08,高估,7.63,高估
2020-10-29,7675.42,43.32,高估,7.63,高估
2020-10-30,7534.39,42.27,高估,7.44,高估
2020-11-02,7585.76,42.89,高估,7.55,高估
2020-11-03,7714.73,42.94,高估,7.57,高估
2020-11-04,7758.72,41.97,高估,7.4,高估
2020-11-05,8181.62,49.71,高估,8.35,高估
2020-11-06,8152.54,48.65,高估,7.39,高估
2020-11-09,8394.19,49.73,高估,7.55,高估
2020-11-10,7961.74,46.99,高估,7.13,高估
2020-11-11,7465.44,42.99,高估,6.38,高估
2020-11-12,7706.58,41.69,高估,6.43,高估
2020-11-13,7939.72,43.15,高估,6.65,高估
2020-11-16,8075.83,42.36,高估,6.62,高估
2020-11-17,7933.13,41.1,高估,6.44,高估
2020-11-18,7972.21,41.26,高估,6.46,高估
2020-11-19,7903.37,41.56,高估,6.34,高估
2020-11-20,7997.52,42.64,高估,6.5,高估
2020-11-23,8088.86,43.5,高估,6.63,高估
2020-11-24,8107.1,43.39,高估,6.65,高估
2020-11-25,7921.35,42.59,高估,6.52,高估
2020-11-26,8057.14,43.28,高估,6.61,高估
2020-11-27,8090.05,43.3,高估,6.61,高估
2020-11-30,8019.36,41.43,高估,6.39,高估
2020-12-01,7985.36,41.47,高估,6.4,高估
2020-12-02,7848.25,40.85,高估,6.3,高估
2020-12-03,7940.19,41.43,高估,6.39,高估
2020-12-04,7952.8,42.0,高估,6.48,高估
2020-12-07,7944.79,41.74,高估,6.44,高估
2020-12-08,8085.11,41.95,高估,6.47,高估
2020-12-09,8101.77,42.24,高估,6.52,高估
2020-12-10,8025.83,41.7,高估,6.44,高估
2020-12-11,8080.6,42.22,高估,6.52,高估
2020-12-14,8128.81,41.4,高估,6.39,高估
2020-12-15,8094.42,40.68,高估,6.28,高估
2020-12-16,8146.4,41.34,高估,6.38,高估
2020-12-17,8332.66,42.32,高估,6.53,高估
2020-12-18,8253.83,41.96,高估,6.48,高估
2020-12-21,8159.95,41.39,高估,6.39,高估
2020-12-22,8186.66,43.49,高估,6.61,高估
2020-12-23,8426.07,44.08,高估,6.7,高估
2020-12-24,8142.81,42.12,高估,6.4,高估
2020-12-28,7795.78,39.5,高估,6.0,高估
2020-12-29,7997.83,40.91,高估,6.22,高估
2020-12-30,8295.37,42.94,高估,6.52,高估
2020-12-31,8425.9,43.11,高估,6.55,高估
2021-01-04,8489.69,43.15,高估,6.56,高估
2021-01-05,8463.55,43.21,高估,6.57,高估
2021-01-06,8609.6,44.33,高估,6.74,高估
2021-01-07,8400.85,42.8,高估,6.5,高估
2021-01-08,8630.32,43.48,高估,6.61,高估
2021-01-11,8665.47,43.73,高估,6.64,高估
2021-01-12,8726.64,43.62,高估,6.63,高估
2021-01-13,8669.71,43.74,高估,6.65,高估
2021-01-14,8895.21,45.59,高估,6.93,高估
2021-01-15,8775.54,45.88,高估,6.97,高估
2021-01-18,9116.24,46.8,高估,7.11,高估
2021-01-19,9374.79,47.46,高估,7.21,高估
2021-01-20,9885.22,50.32,高估,7.65,高估
2021-01-21,9809.84,50.03,高估,7.6,高估
2021-01-22,9765.76,49.86,高估,7.56,高估
2021-01-25,10206.61,53.0,高估,8.04,高估
2021-01-26,9967.45,51.05,高估,7.74,高估
2021-01-27,9807.731,50.52,高估,7.66,高估
2021-01-28,9372.88,48.79,高估,7.4,高估
2021-01-29,9358.11,48.49,高估,7.35,高估
2021-02-01,9765.89,50.43,高估,7.65,高估
2021-02-02,9976.44,46.98,高估,7.4,高估
2021-02-03,10125.72,47.54,高估,7.5,高估
2021-02-04,9897.37,46.92,高估,7.42,高估
2021-02-05,9795.16,46.59,高估,7.37,高估
2021-02-08,9756.81,46.61,高估,7.37,高估
2021-02-09,9961.71,46.84,高估,7.41,高估
2021-02-10,10214.731,48.25,高估,7.63,高估
2021-02-11,10411.2,48.55,高估,7.68,高估
2021-02-16,10694.68,48.71,高估,7.71,高估
2021-02-17,10945.22,49.65,高估,7.86,高估
2021-02-18,10591.53,48.43,高估,7.66,高估
2021-02-19,10560.97,48.11,高估,7.61,高估
2021-02-22,9977.41,46.17,高估,7.3,高估
2021-02-23,9863.82,70.73,高估,8.29,高估
2021-02-24,9360.95,67.98,高估,7.96,高估
2021-02-25,9496.79,66.6,高估,8.1,高估
2021-02-26,8954.44,65.17,高估,7.6,高估
