date,close,市盈率,市盈率估值,市净率,市净率估值
2007-12-14,4977.65,41.52,高估,6.45,高估
2007-12-17,4857.29,40.3,高估,6.26,高估
2007-12-18,4829.91,39.98,高估,6.21,高估
2007-12-19,4946.29,40.86,高估,6.35,高估
2007-12-20,5037.19,41.71,高估,6.47,高估
2007-12-21,5101.85,42.2,高估,6.54,高估
2007-12-24,5207.13,43.28,高估,6.71,高估
2007-12-25,5216.81,42.96,高估,6.66,高估
2007-12-26,5265.03,43.15,高估,6.69,高估
2007-12-27,5367.53,43.84,高估,6.79,高估
2007-12-28,5338.27,43.4,高估,6.73,高估
2008-01-02,5385.1,44.17,高估,6.72,高估
2008-01-03,5422.03,44.46,高估,6.77,高估
2008-01-04,5483.65,44.91,高估,6.83,高估
2008-01-07,5556.59,45.05,高估,6.86,高估
2008-01-08,5528.05,45.18,高估,6.87,高估
2008-01-09,5613.76,45.53,高估,6.93,高估
2008-01-10,5672.15,45.75,高估,6.96,高估
2008-01-11,5699.15,46.02,高估,7.01,高估
2008-01-14,5731.76,46.11,高估,7.01,高估
2008-01-15,5696.45,45.6,高估,6.94,高估
2008-01-16,5505.72,44.19,高估,6.72,高估
2008-01-17,5365.62,42.99,高估,6.54,高估
2008-01-18,5414.47,43.26,高估,6.58,高估
2008-01-21,5145.73,40.83,高估,6.23,高估
2008-01-22,4753.87,37.94,高估,5.79,高估
2008-01-23,4975.11,39.05,高估,5.96,高估
2008-01-24,5027.21,39.03,高估,5.96,高估
2008-01-25,5077.43,39.42,高估,6.01,高估
2008-01-28,4731.88,36.55,高估,5.57,高估
2008-01-29,4762.08,36.77,高估,5.6,高估
2008-01-30,4710.65,36.41,高估,5.55,高估
2008-01-31,4620.4,36.16,高估,5.51,高估
2008-02-01,4571.94,35.79,高估,5.45,高估
2008-02-04,4950.12,38.72,高估,5.9,高估
2008-02-05,4921.83,38.11,高估,5.81,高估
2008-02-13,4816.08,37.14,高估,5.66,高估
2008-02-14,4880.25,37.65,高估,5.73,高估
2008-02-15,4813.31,37.17,高估,5.66,高估
2008-02-18,4910.99,37.69,高估,5.74,高估
2008-02-19,5020.75,38.51,高估,5.86,高估
2008-02-20,4908.72,37.65,高估,5.73,高估
2008-02-21,4876.03,37.22,高估,5.67,高估
2008-02-22,4702.24,35.89,高估,5.46,高估
2008-02-25,4519.78,34.38,高估,5.23,高估
2008-02-26,4515.53,34.66,高估,5.29,高估
2008-02-27,4639.77,35.46,高估,5.41,高估
2008-02-28,4622.06,35.12,高估,5.36,高估
2008-02-29,4674.55,35.51,高估,5.42,高估
2008-03-03,4790.74,36.14,高估,5.52,高估
2008-03-04,4671.15,35.18,高估,5.37,高估
2008-03-05,4628.72,34.74,高估,5.31,高估
2008-03-06,4685.03,35.33,高估,5.4,高估
2008-03-07,4621.69,34.85,高估,5.33,高估
2008-03-10,4431.59,33.49,高估,5.12,高估
2008-03-11,4441.18,33.58,高估,5.14,高估
2008-03-12,4309.65,32.82,高估,5.02,高估
2008-03-13,4198.96,32.05,高估,4.9,高估
2008-03-14,4157.87,31.96,高估,4.88,高估
2008-03-17,3965.28,30.77,高估,4.72,高估
2008-03-18,3763.95,29.51,高估,4.52,高估
2008-03-19,3888.86,30.1,高估,4.63,高估
2008-03-20,4001.83,30.2,高估,4.65,高估
2008-03-21,4037.83,30.16,高估,4.65,高估
2008-03-24,3857.09,28.7,高估,4.42,高估
2008-03-25,3905.77,28.76,高估,4.43,高估
2008-03-26,3914.37,28.09,高估,4.38,高估
2008-03-27,3748.92,26.58,高估,4.15,高估
2008-03-28,3918.16,27.9,高估,4.36,高估
2008-03-31,3790.53,27.09,高估,4.25,高估
2008-04-01,3582.86,26.02,高估,4.08,高估
2008-04-02,3547.98,26.31,高估,4.13,高估
2008-04-03,3650.7,27.12,高估,4.25,高估
2008-04-07,3845.82,28.68,高估,4.43,高估
2008-04-08,3891.06,28.75,高估,4.43,高估
2008-04-09,3688.13,27.21,高估,4.19,高估
2008-04-10,3754.72,27.55,高估,4.25,高估
