date,close,市盈率,市盈率估值,市净率,市净率估值
2015-04-06,4350.97998046875,22.62,正常,4.28,正常
2015-04-07,4344.080078125,22.75,正常,4.28,正常
2015-04-08,4375.9599609375,22.62,正常,4.31,正常
2015-04-09,4403.9501953125,22.62,正常,4.3,正常
2015-04-10,4422.02001953125,22.83,正常,4.31,正常
2015-04-13,4409.2099609375,22.68,正常,4.3,正常
2015-04-14,4397.64013671875,22.63,正常,4.29,正常
2015-04-15,4424.52978515625,22.21,正常,4.31,正常
2015-04-16,4418.830078125,22.33,正常,4.31,正常
2015-04-17,4351.7998046875,22.32,正常,4.25,正常
2015-04-20,4417.39990234375,22.09,正常,4.32,正常
2015-04-21,4435.97998046875,22.04,正常,4.33,正常
2015-04-22,4460.81005859375,22.0,正常,4.36,正常
2015-04-23,4477.06982421875,22.17,正常,4.35,正常
2015-04-24,4536.77978515625,22.32,正常,4.41,偏高
2015-04-27,4525.0400390625,22.35,正常,4.38,偏高
2015-04-28,4515.27001953125,22.15,正常,4.37,正常
2015-04-29,4488.14990234375,21.98,正常,4.36,正常
2015-04-30,4414.25,21.67,正常,4.27,正常
2015-05-01,4479.06005859375,21.67,正常,4.33,正常
2015-05-04,4482.60986328125,21.96,正常,4.34,正常
2015-05-05,4409.39013671875,22.24,正常,4.25,正常
2015-05-06,4379.75,22.12,正常,4.22,正常
2015-05-07,4401.5498046875,21.96,正常,4.25,正常
2015-05-08,4458.64990234375,21.81,正常,4.31,正常
2015-05-11,4438.64013671875,21.85,正常,4.29,正常
2015-05-12,4420.64990234375,21.89,正常,4.27,正常
2015-05-13,4426.56005859375,21.93,正常,4.27,正常
2015-05-14,4495.0400390625,22.0,正常,4.33,正常
2015-05-15,4494.2900390625,22.14,正常,4.33,正常
2015-05-18,4512.9501953125,22.22,正常,4.35,正常
2015-05-19,4503.72021484375,22.92,正常,4.4,偏高
2015-05-20,4505.2998046875,22.95,正常,4.41,偏高
2015-05-21,4529.47021484375,23.14,正常,4.43,偏高
2015-05-22,4527.16015625,23.14,正常,4.43,偏高
2015-05-26,4472.9599609375,22.86,正常,4.38,偏高
2015-05-27,4546.06005859375,23.21,正常,4.45,偏高
2015-05-28,4535.66015625,23.15,正常,4.44,偏高
2015-05-29,4508.25,23.0,正常,4.41,偏高
2015-06-01,4521.85009765625,23.08,正常,4.42,偏高
2015-06-02,4508.89013671875,23.04,正常,4.42,偏高
2015-06-03,4519.85986328125,23.09,正常,4.43,偏高
2015-06-04,4487.02978515625,22.92,正常,4.39,偏高
2015-06-05,4477.18994140625,22.86,正常,4.38,偏高
2015-06-08,4431.509765625,22.61,正常,4.34,正常
2015-06-09,4427.60986328125,22.59,正常,4.33,正常
2015-06-10,4485.4599609375,22.9,正常,4.39,偏高
2015-06-11,4488.47021484375,22.91,正常,4.39,偏高
2015-06-12,4453.7900390625,22.74,正常,4.36,正常
2015-06-15,4432.919921875,22.62,正常,4.34,正常
2015-06-16,4455.89990234375,22.73,正常,4.36,正常
2015-06-17,4468.97998046875,22.8,正常,4.37,正常
