date,close,市盈率,市盈率估值,市净率,市净率估值
2015-08-11,1079.21,17.19,低估,2.72,高估
2015-08-12,1075.14,17.13,低估,2.71,高估
2015-08-13,1087.84,17.33,低估,2.74,高估
2015-08-14,1098.71,17.49,低估,2.86,高估
2015-08-17,1082.43,17.22,低估,2.81,高估
2015-08-18,1007.75,16.01,低估,2.61,高估
2015-08-19,1021.68,16.22,低估,2.65,高估
2015-08-20,973.96,15.5,低估,2.53,高估
2015-08-21,900.93,14.35,低估,2.34,高估
2015-08-24,811.94,12.93,低估,2.11,高估
2015-08-25,731.89,11.6,低估,1.84,高估
2015-08-26,704.66,11.13,低估,1.76,偏高
2015-08-27,756.64,11.87,低估,1.89,高估
2015-08-28,792.57,12.45,低估,2.0,高估
2015-08-31,772.05,11.17,低估,1.92,高估
2015-09-01,787.65,11.4,低估,1.96,高估
2015-09-02,779.67,11.3,低估,1.94,高估
2015-09-07,765.87,11.16,低估,1.9,高估
2015-09-08,793.51,11.54,低估,1.96,高估
2015-09-09,818.29,11.9,低估,2.03,高估
2015-09-10,795.1,11.55,低估,1.97,高估
2015-09-11,790.66,11.49,低估,1.95,高估
2015-09-14,750.87,10.87,低估,1.85,高估
2015-09-15,713.34,10.32,低估,1.76,偏高
2015-09-16,766.81,11.1,低估,1.89,高估
2015-09-17,742.18,10.74,低估,1.83,高估
2015-09-18,746.61,10.8,低估,1.84,高估
2015-09-21,760.18,10.99,低估,1.87,高估
2015-09-22,788.63,11.42,低估,1.94,高估
2015-09-23,758.7,10.99,低估,1.87,高估
2015-09-24,765.37,11.08,低估,1.89,高估
2015-09-25,738.42,10.68,低估,1.82,高估
2015-09-28,747.95,10.83,低估,1.84,高估
2015-09-29,741.47,10.75,低估,1.83,高估
2015-09-30,744.03,10.78,低估,1.84,高估
2015-10-08,775.26,11.23,低估,1.91,高估
2015-10-09,797.69,11.58,低估,1.97,高估
2015-10-12,843.52,12.23,低估,2.09,高估
2015-10-13,837.82,12.14,低估,2.07,高估
2015-10-14,827.9,11.98,低估,2.05,高估
2015-10-15,855.03,12.34,低估,2.11,高估
2015-10-16,873.87,12.6,低估,2.16,高估
2015-10-19,895.56,12.94,低估,2.22,高估
2015-10-20,908.39,13.15,低估,2.25,高估
2015-10-21,858.46,12.4,低估,2.12,高估
2015-10-22,872.87,12.61,低估,2.16,高估
2015-10-23,887.53,12.81,低估,2.19,高估
2015-10-26,906.48,13.09,低估,2.24,高估
2015-10-27,900.01,13.0,低估,2.23,高估
2015-10-28,867.62,12.59,低估,2.15,高估
2015-10-29,867.15,12.66,低估,2.15,高估
2015-10-30,888.57,12.89,低估,2.19,高估
2015-11-02,861.5,12.23,低估,2.11,高估
2015-11-03,864.59,12.27,低估,2.12,高估
2015-11-04,950.95,13.5,低估,2.34,高估
2015-11-05,1024.27,14.56,低估,2.52,高估
2015-11-06,1117.86,15.9,低估,2.75,高估
2015-11-09,1104.95,15.75,低估,2.73,高估
2015-11-10,1126.87,16.07,低估,2.78,高估
2015-11-11,1152.89,16.49,低估,2.85,高估
2015-11-12,1127.45,16.13,低估,2.79,高估
2015-11-13,1138.47,16.26,低估,2.82,高估
2015-11-16,1124.47,16.05,低估,2.78,高估
2015-11-17,1135.1,16.26,低估,2.81,高估
2015-11-18,1088.38,15.51,低估,2.68,高估
2015-11-19,1115.22,15.89,低估,2.75,高估
2015-11-20,1094.15,15.6,低估,2.7,高估
2015-11-23,1079.6,15.44,低估,2.67,高估
2015-11-24,1104.1,15.81,低估,2.74,高估
2015-11-25,1109.3,15.88,低估,2.75,高估
2015-11-26,1095.83,15.69,低估,2.72,高估
2015-11-27,1002.45,14.27,低估,2.47,高估
2015-11-30,989.36,14.14,低估,2.45,高估
2015-12-01,986.67,14.09,低估,2.44,高估
2015-12-02,1047.31,14.96,低估,2.59,高估
2015-12-03,1048.06,14.98,低估,2.59,高估
2015-12-04,1019.85,14.58,低估,2.52,高估
2015-12-07,1007.5,14.41,低估,2.49,高估
2015-12-08,990.62,14.15,低估,2.45,高估
2015-12-09,993.19,14.19,低估,2.46,高估
2015-12-10,999.5,14.28,低估,2.47,高估
2015-12-11,1005.02,14.36,低估,2.49,高估
2015-12-14,1095.36,15.74,低估,2.7,高估
2015-12-15,1061.3,15.27,低估,2.62,高估
2015-12-16,1065.12,15.33,低估,2.63,高估
2015-12-17,1080.63,15.57,低估,2.67,高估
2015-12-18,1069.92,15.4,低估,2.65,高估
2015-12-21,1088.57,15.63,低估,2.69,高估
2015-12-22,1103.66,15.82,低估,2.72,高估
2015-12-23,1125.46,16.09,低估,2.76,高估
2015-12-24,1082.04,15.44,低估,2.65,高估
2015-12-25,1086.47,15.5,低估,2.66,高估
2015-12-28,1041.05,14.88,低估,2.56,高估
2015-12-29,1055.5,15.09,低估,2.59,高估
2015-12-30,1052.76,15.05,低估,2.59,高估
2015-12-31,1038.16,14.85,低估,2.55,高估
2016-01-04,940.97,13.44,低估,2.31,高估
2016-01-05,941.72,13.45,低估,2.31,高估
2016-01-06,956.84,13.67,低估,2.35,高估
2016-01-07,866.51,12.45,低估,2.14,高估
2016-01-08,889.8,12.82,低估,2.2,高估
2016-01-11,817.41,11.8,低估,2.03,高估
2016-01-12,831.04,11.71,低估,2.05,高估
2016-01-13,824.9,11.56,低估,2.02,高估
2016-01-14,849.72,11.93,低估,2.09,高估
2016-01-15,822.01,11.52,低估,2.01,高估
2016-01-18,825.47,11.63,低估,2.01,高估
2016-01-19,854.49,12.06,低估,2.08,高估
2016-01-20,845.18,11.96,低估,2.05,高估
2016-01-21,807.26,11.55,低估,1.98,高估
2016-01-22,818.61,11.72,低估,2.0,高估
2016-01-25,821.17,11.71,低估,2.0,高估
2016-01-26,747.06,10.65,低估,1.82,高估
2016-01-27,736.55,10.39,低估,1.78,偏高
2016-01-28,719.2,10.1,低估,1.73,偏高
2016-01-29,761.39,10.64,低估,1.81,高估
2016-02-01,747.69,10.44,低估,1.78,偏高
2016-02-02,769.12,10.77,低估,1.83,高估
2016-02-03,764.75,10.68,低估,1.82,高估
2016-02-04,777.06,10.85,低估,1.84,高估
2016-02-05,751.29,10.48,低估,1.78,偏高
2016-02-15,739.96,10.3,低估,1.75,偏高
2016-02-16,775.83,10.81,低估,1.84,高估
2016-02-17,783.42,10.91,低估,1.85,高估
2016-02-18,782.11,10.87,低估,1.85,高估
2016-02-19,787.47,10.92,低估,1.86,高估
2016-02-22,815.84,11.36,低估,1.93,高估
2016-02-23,801.86,11.16,低估,1.9,高估
2016-02-24,807.79,11.26,低估,1.91,高估
2016-02-25,735.64,10.27,低估,1.74,偏高
2016-02-26,742.87,10.34,低估,1.76,偏高
2016-02-29,716.98,9.89,低估,1.68,偏高
2016-03-01,747.53,10.26,低估,1.75,偏高
2016-03-02,794.01,10.89,低估,1.85,高估
2016-03-03,789.45,10.81,低估,1.84,高估
2016-03-04,794.73,10.87,低估,1.85,高估
2016-03-07,799.64,10.95,低估,1.86,高估
2016-03-08,799.66,10.93,低估,1.86,高估
2016-03-09,789.0,10.77,低估,1.83,高估
2016-03-10,763.46,10.43,低估,1.77,偏高
2016-03-11,774.67,10.58,低估,1.8,偏高
2016-03-14,794.08,10.86,低估,1.85,高估
2016-03-15,788.99,10.78,低估,1.83,高估
2016-03-16,791.85,10.79,低估,1.83,高估
2016-03-17,814.12,11.11,低估,1.89,高估
2016-03-18,842.84,11.55,低估,1.96,高估
2016-03-21,926.75,12.61,低估,2.15,高估
2016-03-22,899.43,12.26,低估,2.09,高估
2016-03-23,914.92,12.5,低估,2.13,高估
2016-03-24,872.8,11.92,低估,2.03,高估
2016-03-25,882.05,12.03,低估,2.05,高估
2016-03-28,861.08,11.76,低估,2.0,高估
2016-03-29,857.37,11.69,低估,1.99,高估
2016-03-30,885.94,12.07,低估,2.05,高估
2016-03-31,888.63,12.11,低估,2.06,高估
2016-04-01,883.09,12.02,低估,2.04,高估
2016-04-05,899.78,12.25,低估,2.08,高估
2016-04-06,893.82,12.16,低估,2.07,高估
